# Moroney, Lee, O'Brien, Suijver, Marra (2015) Chem. Eng. Sci. 137:216-234, doi:10.1016/j.ces.2015.06.003
# Table 2: parameters for simulation of the cylindrical brewing chamber extraction experiments (parameters new or changed vs Table 1; others as Table 1)
# extraction_method: transcribed from PDF text layer; MEASURED (verbatim numeric values)
parameter,description,units,JK_drip_filter,Cimbali_20
phi_v0,initial intragranular porosity,-,0.6231,0.6218
phi_h,"intergranular porosity (pressure-compacted, matched to flow)",-,0.2,0.25
c_max,"initial h-phase concentration scale (linear profile, Cimbali only)",kg m-3,,82.63
c_s,solid coffee concentration,kg m-3,1400,1400
phi_ss0,"initial soluble coffee volume fraction, grain surface",-,0.11,0.07
phi_sb0,"initial soluble coffee volume fraction, grain kernel",-,0.033435,0.052
alpha_star,fitting parameter (v-h transfer),-,0.1833,0.0881
beta_star,fitting parameter (surface extraction),-,0.0447,0.0086
r_s,1/phi_ss0,-,9.09,14.28
c_v0,initial v-phase concentration,kg m-3,78.88,78.88
Delta_p,pressure difference across bed,Pa,230000,65000
L,coffee bed height,m,0.0405,0.0526
