exp,Temp_C,flow_mL_s,fraction,t_lower_s,t_upper_s,c_caffeine_mg_g,c_trigonelline_mg_g,c_5CQA_mg_g,TDS_pct
1,78.63,0.95,1,0.0,4.496,9.6809,6.5184,6.5337,26.6138
1,78.63,0.95,2,4.496,11.469,7.1443,4.2532,4.6997,16.847
1,78.63,0.95,3,11.469,17.755,4.8998,2.5758,3.1655,9.8841
1,78.63,0.95,5,23.789,29.778,2.7069,1.1057,1.6176,5.0598
1,78.63,0.95,7,35.45,41.071,1.7314,0.6021,1.0271,2.7179
1,78.63,0.95,10,52.866,58.49,1.0228,0.2797,0.574,1.4421
2,95.98,0.923,1,0.0,6.0,9.2618,5.8531,6.2927,23.2572
2,95.98,0.923,2,6.0,12.354,7.4348,4.2478,4.8846,17.2447
2,95.98,0.923,3,12.354,18.84,5.6454,2.9246,3.6872,11.382
2,95.98,0.923,5,25.15,31.107,3.1114,1.2171,1.8862,5.5988
2,95.98,0.923,7,36.926,42.353,1.8071,0.5703,1.0643,2.8024
2,95.98,0.923,10,54.218,59.621,1.0131,0.2599,0.5705,1.4989
3,78.64,1.016,1,0.0,6.735,8.5154,5.7177,5.953,20.8286
3,78.64,1.016,2,6.735,12.11,4.2848,2.5772,2.9342,14.6927
3,78.64,1.016,3,12.11,17.995,4.4945,2.3945,3.0546,9.2255
3,78.64,1.016,5,23.794,29.331,2.3676,0.9514,1.4889,4.4215
3,78.64,1.016,7,34.468,39.919,1.5344,0.5296,0.9718,2.4235
3,78.64,1.016,10,51.07,56.699,1.0046,0.285,0.6216,1.4394
4,96.38,0.929,1,0.0,6.515,8.887,6.0633,6.3657,22.7942
4,96.38,0.929,2,6.515,12.873,7.1172,4.4069,4.97,16.8308
4,96.38,0.929,3,12.873,18.815,5.2954,2.9223,3.6581,10.8932
4,96.38,0.929,5,24.349,30.354,2.9463,1.1921,1.8872,5.3405
4,96.38,0.929,7,35.776,41.247,1.8145,0.6204,1.155,2.8806
4,96.38,0.929,10,52.451,58.328,1.0419,0.2888,0.6341,1.5867
5,79.46,2.705,1,0.0,2.752,8.1681,5.1096,5.3842,19.431
5,79.46,2.705,2,2.752,4.889,5.277,2.7643,3.2587,10.9165
5,79.46,2.705,3,4.889,7.16,4.0135,1.9564,2.4493,7.5625
5,79.46,2.705,5,9.464,11.812,2.576,1.1589,1.5178,5.2153
5,79.46,2.705,7,13.823,16.505,2.0949,0.9246,1.2732,4.0238
5,79.46,2.705,10,21.236,23.65,1.2407,0.4055,0.571,1.8473
6,97.66,2.742,1,0.0,2.617,8.6771,5.37,5.7676,20.8964
6,97.66,2.742,2,2.617,5.076,5.8241,3.0199,3.5981,11.9657
6,97.66,2.742,3,5.076,7.614,4.0483,1.925,2.4591,8.0299
6,97.66,2.742,5,10.03,12.52,2.5861,1.1049,1.519,5.0127
6,97.66,2.742,7,14.894,17.002,2.0286,0.8314,1.2246,3.7599
6,97.66,2.742,10,21.452,23.935,1.065,0.3412,0.606,1.6409
7,79.43,2.946,1,0.0,2.642,7.956,5.2683,5.499,18.9689
7,79.43,2.946,2,2.642,4.75,5.4914,3.1258,3.603,11.4676
7,79.43,2.946,3,4.75,6.83,4.1621,2.2098,2.7084,8.4041
7,79.43,2.946,5,8.769,10.755,2.7764,1.2714,1.7072,5.2845
7,79.43,2.946,7,12.733,14.631,1.9263,0.7848,1.1772,3.2362
7,79.43,2.946,10,18.456,20.389,1.1322,0.3589,0.647,1.514
8,97.78,2.775,1,0.0,2.568,8.305,5.4194,5.8384,20.6389
8,97.78,2.775,2,2.568,4.738,6.0834,3.4418,4.0441,13.0923
8,97.78,2.775,3,4.738,6.859,4.4931,2.343,2.9465,9.2667
8,97.78,2.775,5,8.889,10.884,2.9825,1.3303,1.8501,5.5212
8,97.78,2.775,7,12.9,14.776,2.0807,0.8505,1.2959,3.7464
8,97.78,2.775,10,18.458,20.261,1.2962,0.4262,0.7654,1.9182
9,88.08,1.907,1,0.0,4.101,8.4772,5.3511,5.6391,20.5632
9,88.08,1.907,2,4.101,7.096,6.1614,3.3577,3.9094,13.1285
9,88.08,1.907,3,7.096,9.99,4.6196,2.3267,2.9049,9.1018
9,88.08,1.907,5,12.854,15.597,2.9702,1.2647,1.7714,5.5207
9,88.08,1.907,7,18.441,21.138,2.0024,0.7329,1.1816,3.3001
9,88.08,1.907,10,26.55,29.255,1.1831,0.3334,0.659,1.5869
10,87.22,0.988,1,0.0,5.094,9.093,6.1176,6.2825,23.7135
10,87.22,0.988,2,5.094,11.739,7.2609,4.4382,4.9289,17.5335
10,87.22,0.988,3,11.739,17.529,5.3119,2.8777,3.5689,11.1398
10,87.22,0.988,5,23.284,28.906,2.7737,1.0891,1.7129,5.037
10,87.22,0.988,7,34.323,39.524,1.6812,0.5393,1.0176,2.6251
10,87.22,0.988,10,50.299,55.821,0.9541,0.2401,0.5519,1.4021
11,88.56,2.842,1,0.0,3.281,8.0906,5.0245,5.3123,19.2766
11,88.56,2.842,2,3.281,5.437,3.5045,1.8036,2.121,10.5918
11,88.56,2.842,3,5.437,7.566,3.981,1.9355,2.4189,7.8061
11,88.56,2.842,5,9.635,11.761,2.7229,1.1718,1.586,5.1248
11,88.56,2.842,7,13.838,15.868,1.9598,0.7697,1.1464,3.308
11,88.56,2.842,10,20.025,22.017,1.0636,0.3026,0.5708,1.5092
12,88.26,1.921,1,0.0,3.716,8.5951,5.3574,5.6758,20.4669
12,88.26,1.921,2,3.716,6.774,5.7571,3.0348,3.5718,11.9119
12,88.26,1.921,3,6.774,9.795,4.2948,2.1023,2.6423,8.4334
12,88.26,1.921,5,12.698,15.619,2.8202,1.2099,1.6606,5.3064
12,88.26,1.921,7,18.486,21.212,1.9844,0.7824,1.176,3.5247
12,88.26,1.921,10,26.854,29.704,1.2203,0.3979,0.6886,1.7899
13,88.45,1.996,1,0.0,3.452,8.5162,5.6008,6.0067,21.1404
13,88.45,1.996,2,3.452,6.628,6.1508,3.5195,4.1505,13.4675
13,88.45,1.996,3,6.628,9.918,4.4541,2.3488,2.9725,9.0785
13,88.45,1.996,5,12.974,16.051,2.7187,1.1752,1.7028,5.1114
13,88.45,1.996,7,19.118,22.016,1.8306,0.6748,1.1377,3.0069
13,88.45,1.996,10,27.645,30.713,1.0545,0.31,0.6223,1.5242
14,79.16,1.934,1,0.0,3.492,9.0949,5.971,6.1186,21.0442
14,79.16,1.934,2,3.492,6.682,4.3207,2.4698,2.7746,13.1392
14,79.16,1.934,3,6.682,9.693,4.5539,2.4557,2.9323,9.4669
14,79.16,1.934,5,12.58,15.466,2.9674,1.3505,1.8119,5.7985
14,79.16,1.934,7,18.293,20.977,2.0068,0.7948,1.2184,3.5178
14,79.16,1.934,10,26.405,29.238,1.2169,0.3561,0.6826,1.7598
15,97.03,1.898,1,0.0,3.644,8.5968,5.5791,5.7467,21.1521
15,97.03,1.898,2,3.644,6.923,6.5261,3.7301,4.2375,14.4675
15,97.03,1.898,3,6.923,10.0,4.8532,2.513,3.112,9.9369
15,97.03,1.898,5,12.903,15.772,2.8693,1.1735,1.7132,5.2918
15,97.03,1.898,7,18.654,21.293,1.8224,0.6361,1.0812,2.9405
15,97.03,1.898,10,26.712,29.521,1.0735,0.2982,0.6134,1.5635
