campaign_id,condition_id,source_experiment_id,shot_id,physical_replicate_id,fraction_id,fraction_start_s,fraction_end_s,fraction_liquid_g_or_ml,fraction_basis,analyte,concentration_value,concentration_unit,analyte_mass_mg,mass_derivation,validity,exclusion_reason,source_id,source_object_or_cell,measurement_kind
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,1,0,4.91627295,4.6705,MEASURED_MASS_G,caffeine,9.92350466,mg/g,46.34772853,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,1,0,4.91627295,4.6705,MEASURED_MASS_G,trigonelline,6.59625868,mg/g,30.80782614,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,1,0,4.91627295,4.6705,MEASURED_MASS_G,5CQA,6.64493454,mg/g,31.03516676,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,1,0,4.91627295,4.6705,MEASURED_MASS_G,CQA_sum,13.90672667,mg/g,64.95136692,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,1,0,4.91627295,4.6705,MEASURED_MASS_G,TDS,29.74564005,percent,1389.27011873,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,2,4.91627295,11.64442485,6.3918,MEASURED_MASS_G,caffeine,7.04393343,mg/g,45.02341367,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,2,4.91627295,11.64442485,6.3918,MEASURED_MASS_G,trigonelline,4.05338195,mg/g,25.90840675,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,2,4.91627295,11.64442485,6.3918,MEASURED_MASS_G,5CQA,4.55569976,mg/g,29.11912176,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,2,4.91627295,11.64442485,6.3918,MEASURED_MASS_G,CQA_sum,9.40639309,mg/g,60.12378335,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,2,4.91627295,11.64442485,6.3918,MEASURED_MASS_G,TDS,16.08725053,percent,1028.26487908,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,3,11.64442485,18.12563153,6.1572,MEASURED_MASS_G,caffeine,4.76913349,mg/g,29.36450873,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,3,11.64442485,18.12563153,6.1572,MEASURED_MASS_G,trigonelline,2.40738964,mg/g,14.82277951,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,3,11.64442485,18.12563153,6.1572,MEASURED_MASS_G,5CQA,3.03252109,mg/g,18.67183887,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,3,11.64442485,18.12563153,6.1572,MEASURED_MASS_G,CQA_sum,6.28966748,mg/g,38.72674061,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,3,11.64442485,18.12563153,6.1572,MEASURED_MASS_G,TDS,9.6573075,percent,594.61973759,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 3,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,caffeine,2.68035515,mg/g,15.57125523,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,trigonelline,1.07699384,mg/g,6.256688,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,5CQA,1.57936197,mg/g,9.1751454,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,CQA_sum,3.20245656,mg/g,18.60435116,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,5,24.01579073,30.13089533,5.8094,MEASURED_MASS_G,TDS,4.99553576,percent,290.21065431,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 5,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,caffeine,1.75979226,mg/g,9.48827191,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,trigonelline,0.61834497,mg/g,3.33393056,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,5CQA,1.03705309,mg/g,5.59147913,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,CQA_sum,2.14934527,mg/g,11.58862491,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,7,35.89842402,41.57384825,5.3917,MEASURED_MASS_G,TDS,2.79981068,percent,150.95739259,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 7,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,caffeine,1.04623483,mg/g,5.5316528,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,trigonelline,0.29545976,mg/g,1.56215484,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,5CQA,0.58711773,mg/g,3.10420884,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,CQA_sum,1.20064733,mg/g,6.34806257,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R1,1,10,53.54184923,59.10727441,5.2872,MEASURED_MASS_G,TDS,1.56554897,percent,82.77370495,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(1) fraction 10,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,caffeine,9.60224993,mg/g,29.45010055,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,trigonelline,6.74894774,mg/g,20.69902271,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,5CQA,6.62968836,mg/g,20.33325421,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,CQA_sum,13.92008109,mg/g,42.69288869,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,1,0,3.23342217,3.067,MEASURED_MASS_G,TDS,26.39563764,percent,809.55420648,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 1,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,caffeine,7.51548523,mg/g,52.64672562,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,trigonelline,4.7398967,mg/g,33.2034504,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,5CQA,5.08678075,mg/g,35.63340783,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,CQA_sum,10.56692185,mg/g,74.02234427,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
FIT_2021_12,FIT-C01,1,FIT-E01-R2,2,2,3.23342217,10.61863433,7.0051,MEASURED_MASS_G,TDS,18.30244866,percent,1282.10483077,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,VALID,,P24-MAT-FIT,ExperimentalData(1).run(2) fraction 2,SOURCE_DERIVED_ANALYTICAL
