fraction_id,recovered_liquid_g,cumulative_liquid_g,trigonelline_mass_mg,caffeine_mass_mg,5CQA_mass_mg,CQA_sum_mass_mg,cumulative_trigonelline_mg,cumulative_caffeine_mg,cumulative_5CQA_mg,cumulative_CQA_sum_mg,mass_class,source_id,source_location
1,58.85,58.85,160.166401703,215.012237938,124.477280048,241.304441063,160.166401703,215.012237938,124.477280048,241.304441063,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 10/15
2,83.29,142.14,8.051821336,33.802608702,18.063482851,34.735607436,168.218223039,248.814846641,142.540762899,276.040048499,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 11/16
3,70.54,212.68,0.246088601,2.251402351,1.892231975,4.025824532,168.46431164,251.066248992,144.432994874,280.065873031,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 12/17
4,65.3,277.98,0.04410694,0.199340579,0.087759279,0.191392694,168.50841858,251.26558957,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 13/18
5,73.08,351.06,0.022852739,0.060070029,0,0,168.531271318,251.3256596,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 14/19
6,64.61,415.67,0.02326842,0.04772435,0,0,168.554539738,251.37338395,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 15/20
7,68.81,484.48,0.021427445,0.04240812,0,0,168.575967183,251.41579207,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 16/21
8,68.43,552.91,0.01490765,0.037285117,0,0,168.590874833,251.453077187,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 17/22
9,72.36,625.27,0.012008456,0.039426437,0,0,168.602883289,251.492503624,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 18/23
10,61.75,687.02,0.014792181,0.033645418,0,0,168.61767547,251.526149042,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 19/24
11,67.71,754.73,0.010373026,0.036892814,0,0,168.628048496,251.563041856,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 20/25
12,64.97,819.7,0.01521643,0.035399884,0,0,168.643264926,251.59844174,144.520754153,280.257265725,DERIVED_FROM_CONCENTRATION_AND_MEASURED_LIQUID,P24-HPLC-FIT,46 rows 21/26
