source_id,source_relpath,sha256,byte_size,source_family,scientific_role,publication_role,campaign_id,parser,rights_id,consumed_objects_or_sheets,notes
P24-MAT-FIT,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/MATLAB_Code/ExperimentalData.mat,7c80b1c9c7d73cbc0bfacd4901fba28318e43b460c7910ca67441f9dc1805e3c,30382,Pannusch2024,fit replicate observations and experiment 46 summary,SOURCE_FIT_AND_REFERENCE,FIT_2021_12,scipy.io.loadmat,CC-BY-NC-3.0,ExperimentalData,Numeric structs; opaque MCOS not required
P24-MAT-PRED,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/MATLAB_Code/ExperimentalData_validation.mat,b5fb0245e5cb67cf3191127f6058624243a38fc0031344f8c93344bb95a84d64,92159,Pannusch2024,prediction replicate observations,SOURCE_DESIGNATED_PREDICTION,PREDICTION_2022_03,scipy.io.loadmat,CC-BY-NC-3.0,ExperimentalData,Target exposed source-internal campaign
P24-M-FIT3,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/MATLAB_Code/Multifit03_psi_ds2.m,f39e0fc1eb043963ddfda64d217b5055e3e2a618e4ce4b0248c48e2871f14e07,3024,Pannusch2024,grind fit grouping,SOURCE_CODE,FIT_2021_12,text,CC-BY-NC-3.0,all_experiments and grind branches,Used with DoE direct assignments
P24-M-PREP-FIT,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/MATLAB_Code/getExperimentalData.m,c8a07994ef3faff973fca104fe4c59b49e33c5146f2fec65b560d79084b48e5e,8198,Pannusch2024,fit preprocessing and invalid flags,SOURCE_CODE,FIT_2021_12,text,CC-BY-NC-3.0,spill assignments and HPLC/RI ranges,Invalid zeros are source flags not measurements
P24-M-PREP-PRED,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/MATLAB_Code/getExperimentalData_validation.m,b1a219b851887af69611a9f22c810c7c07f1f3b8e714e6d4ef62500c960deee7,9923,Pannusch2024,prediction preprocessing,SOURCE_CODE,PREDICTION_2022_03,text,CC-BY-NC-3.0,HPLC RI fraction and whole-cup ranges,Programmed and fitted-flow distinctions retained
P24-DOE-FIT,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data/Decent & scale data/DesignOfExperiments_2021_12_final.xlsx,d2a985e40327c7812c7e79964c41a31866316cc2fb35148df83191ab42814a9f,93416,Pannusch2024,fit conditions shots grind and spill evidence,SOURCE_EXPERIMENT_DESIGN,FIT_2021_12,openpyxl,CC-BY-NC-3.0,ExpSheet and SampleWeights,External only
P24-DOE-PRED,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data_validation/Decent & scale data/DesignOfExperiments_Validation_03_22.xlsx,b7fc864e693ddb40317a4c9493a2fb0c0892b1f1c68f5ce581d48008e21cab57,64408,Pannusch2024,prediction conditions and shots,SOURCE_EXPERIMENT_DESIGN,PREDICTION_2022_03,openpyxl,CC-BY-NC-3.0,ExpSheet and SampleWeights,External only
P24-HPLC-FIT,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data/HPLC Alcaloids/HPLC_Alcaloids_2022.xlsx,4be402a49a5ddac7f9ad08c1223a1427f110b3b58a77d0a525aef25a5528592d,805674,Pannusch2024,fit HPLC and experiment 46 fractions,SOURCE_ANALYTICAL,FIT_2021_12,openpyxl,CC-BY-NC-3.0,sheets 1-3 through 46,External only
P24-HPLC-PRED,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data_validation/HPLC Alcaloids/HPLC_Alcaloids_Validation_2022_03.xlsx,42257832ba03c19bc067121af6eaacdcf378d64060cce1a302c8f555ddeafc06,416192,Pannusch2024,prediction HPLC fractions and whole cup,SOURCE_ANALYTICAL,PREDICTION_2022_03,openpyxl,CC-BY-NC-3.0,sheets 1-3 through 22-24,External only
P24-RI-FIT,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data/TdS/2022_RI.xlsx,ab0260bcca7b3fecd8391a815af10197ddf6dfb297f19870dbf3ac93e77cee70,32163,Pannusch2024,fit RI and experiment 46 TDS,SOURCE_ANALYTICAL,FIT_2021_12,openpyxl,CC-BY-NC-3.0,RI_norm dilution_factor cs0 TdS,LOD LOQ and recovery not established
P24-RI-PRED,pannusch2024/Data Repository for Research Article Model-Based Kinetic Espresso Brewing Control Chart for Representative Taste Components/Experimental_data_validation/TdS/2022_RI_Validation.xlsx,717a6c15f42f1d873673336da27c274a151a2a539ee9893c87c645d2958e9be7,38660,Pannusch2024,prediction RI fractions and whole cup,SOURCE_ANALYTICAL,PREDICTION_2022_03,openpyxl,CC-BY-NC-3.0,RI_norm dilution_factor TdS raw_data,LOD LOQ and recovery not established
