time_s,line_pressure_bar,mass_g
0.0000,8.7005,-0.0601
0.0930,8.7440,-0.0308
0.1870,8.8227,-0.0111
0.2810,8.9953,-0.0255
0.3740,9.0672,0.0010
0.4670,9.2075,0.0062
0.5600,9.2203,0.0159
0.6530,9.2450,0.0264
0.7460,9.3005,0.0082
0.8410,9.3050,-0.0077
0.9340,9.2533,-0.0096
1.0270,9.2405,-0.0404
1.1200,9.2975,-0.0365
1.2130,9.3027,-0.0394
1.3070,9.2900,-0.0394
1.4000,9.2652,-0.0500
1.4940,9.2195,-0.0356
1.5870,9.2592,-0.0293
1.6800,9.2720,-0.0433
1.7740,9.2825,-0.0332
1.8670,9.2750,-0.0293
1.9600,9.2458,-0.0346
2.0530,9.2765,-0.0279
2.1470,9.2570,-0.0211
2.2400,9.2803,0.0019
2.3340,9.2728,0.0072
2.4270,9.2675,-0.0024
2.5200,9.3260,-0.0197
2.6130,9.2930,0.0058
2.7060,9.2525,0.0154
2.8000,9.2510,0.0471
2.8940,9.2652,0.0356
2.9870,9.2983,0.0485
3.0800,9.2833,0.0533
3.1730,9.2263,0.0457
3.2670,9.1948,0.0264
3.3600,9.2225,0.0202
3.4530,9.2683,0.0111
3.5470,9.2427,-0.0019
3.6400,9.2180,-0.0192
3.7330,9.1917,-0.0077
3.8270,9.2240,-0.0034
3.9200,9.2248,-0.0149
4.0130,9.2263,0.0038
4.1060,9.2165,0.0067
4.2000,9.2022,0.0101
4.2940,9.2360,0.0058
4.3870,9.2150,0.0048
4.4800,9.2135,-0.0149
4.5730,9.2022,-0.0211
4.6660,9.2195,-0.0077
4.7600,9.2630,-0.0096
4.8530,9.2413,-0.0221
4.9470,9.2172,-0.0284
5.0400,9.1873,-0.0384
5.1330,9.2225,-0.0481
5.2260,9.2622,-0.0639
5.3200,9.2615,-0.0505
5.4130,9.2248,-0.0264
5.5060,9.1677,-0.0159
5.6000,9.2375,-0.0298
5.6930,9.2315,-0.0481
5.7870,9.2555,-0.0452
5.8800,9.2383,-0.0288
5.9730,9.2037,-0.0245
6.0660,9.2547,-0.0240
6.1590,9.2450,-0.0111
6.2540,9.2480,-0.0029
6.3470,9.2180,0.0120
