exp,rep,doe_role,target_flow_ml_s,scale_flow_ml_s,grind_level,target_temp_C,decent_temp_C,pressure_max_bar,component,brew_ratio,mass_in_cup,mass_units,conc_in_cup
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,trigonelline,1/1,81.9081,mg,4.095405
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,trigonelline,1/2,102.68999,mg,2.5672497499999998
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,trigonelline,1/3,107.96282,mg,1.7993803333333331
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,caffeine,1/1,131.36689,mg,6.5683445
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,caffeine,1/2,179.92677,mg,4.49816925
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,caffeine,1/3,197.87696,mg,3.2979493333333334
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,5-CQA,1/1,89.81176,mg,4.490588000000001
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,5-CQA,1/2,120.57308,mg,3.014327
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,5-CQA,1/3,131.1091,mg,2.185151666666667
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,TDS,1/1,3.20283,g,0.1601415
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,TDS,1/2,4.09473,g,0.10236825000000001
1.0,1.0,DoE Axis Point,1.0,1.09218,1.7,89.0,87.17789,2.55,TDS,1/3,4.3431,g,0.07238499999999999
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,trigonelline,1/1,80.21265,mg,4.0106325
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,trigonelline,1/2,100.79549,mg,2.51988725
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,trigonelline,1/3,106.07711,mg,1.7679518333333335
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,caffeine,1/1,134.02697,mg,6.7013485
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,caffeine,1/2,184.98621,mg,4.62465525
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,caffeine,1/3,204.36175,mg,3.406029166666667
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,5-CQA,1/1,90.10146,mg,4.505073
1.0,2.0,DoE Axis Point,1.0,0.95542,1.7,89.0,87.48639,2.76,5-CQA,1/2,122.10819,mg,3.0527047499999997
