exp,component,c0_units,c0,c0_se,lambda_g,lambda_se,reduced_chisqr,adj_r2
1,trigonelline,mg_g,7.40899,0.12316,14.76344,0.42552,0.02561,0.99481
1,caffeine,mg_g,10.4887,0.14327,20.52467,0.5199,0.04752,0.99493
1,5-CQA,mg_g,7.32493,0.1108,19.11304,0.52774,0.02668,0.99429
1,TDS,g_g,0.28305,0.00386,15.70033,0.37567,2.6800000000000004e-05,0.9962
2,trigonelline,mg_g,6.46932,0.23064,16.40303,0.86193,0.05312,0.9806
2,caffeine,mg_g,9.46765,0.28924,23.93518,1.18507,0.13117,0.97824
2,5-CQA,mg_g,6.35357,0.22661,21.1787,1.18384,0.07051,0.97413
2,TDS,g_g,0.23924,0.00955,17.83024,1.06401,0.00010200000000000001,0.97201
3,trigonelline,mg_g,6.54716,0.23705,14.93682,0.84702,0.06872,0.97702
3,caffeine,mg_g,9.66427,0.27442,21.96458,1.0845,0.14334,0.97831
3,5-CQA,mg_g,6.47778,0.22434,19.62703,1.14453,0.08511,0.97164
3,TDS,g_g,0.24196,0.00933,16.59384,1.03039,0.000121,0.97078
4,trigonelline,mg_g,6.83473,0.11231,15.99516,0.42845,0.01714,0.99521
4,caffeine,mg_g,9.67546,0.15595,23.05736,0.66335,0.04944,0.99303
4,5-CQA,mg_g,6.92748,0.11967,20.80018,0.62438,0.02622,0.99288
4,TDS,g_g,0.25164,0.00514,17.31233,0.58753,3.94e-05,0.99185
5,trigonelline,mg_g,7.30706,0.16914,15.42548,0.57294,0.03804,0.9907
5,caffeine,mg_g,10.38155,0.30436,21.59864,1.08663,0.174,0.97851
5,5-CQA,mg_g,7.08289,0.1861,19.75796,0.87311,0.05984,0.98429
5,TDS,g_g,0.2474,0.00636,17.98499,0.75292,6.37e-05,0.98585
6,trigonelline,mg_g,6.95468,0.10214,15.7859,0.3698,0.01422,0.99616
6,caffeine,mg_g,10.04235,0.15921,22.39093,0.62077,0.05039,0.99327
6,5-CQA,mg_g,6.80018,0.12522,20.60333,0.6479,0.02871,0.9918
6,TDS,g_g,0.25713,0.00367,17.3144,0.40346,2.05e-05,0.99593
7,trigonelline,mg_g,6.69949,0.09587,16.08737,0.36681,0.024700000000000003,0.99227
7,caffeine,mg_g,9.70981,0.13064,23.09434,0.5462,0.06781,0.9897
7,5-CQA,mg_g,6.79246,0.10682,20.77137,0.55683,0.0408,0.98752
7,TDS,g_g,0.24827,0.00419,17.47261,0.48029,5.2000000000000004e-05,0.98811
8,trigonelline,mg_g,7.62541,0.09065,13.12089,0.27877,0.01422,0.9973
8,caffeine,mg_g,10.69172,0.15672,18.92703,0.52514,0.0595,0.99409
8,5-CQA,mg_g,7.31745,0.09572,17.29798,0.4219,0.02055,0.99572
8,TDS,g_g,0.30725,0.00999,13.16232,0.76497,0.000173,0.97956
9,trigonelline,mg_g,7.08449,0.1493,15.63306,0.56872,0.03722,0.99154
9,caffeine,mg_g,10.69195,0.19535,21.67685,0.73662,0.08821,0.99072
9,5-CQA,mg_g,7.32619,0.12423,19.92738,0.61563,0.03302,0.99274
9,TDS,g_g,0.27778,0.00462,16.50264,0.47902,3.77e-05,0.99428
10,trigonelline,mg_g,7.34872,0.18011,14.07208,0.54291,0.03783,0.99095
10,caffeine,mg_g,10.13843,0.25125,19.75409,0.82583,0.10739,0.98646
10,5-CQA,mg_g,7.18869,0.17832,18.48345,0.76212,0.05056,0.98742
10,TDS,g_g,0.2599,0.00608,15.62012,0.58694,4.89e-05,0.99069
11,trigonelline,mg_g,7.57984,0.13439,15.04329,0.43899,0.02663,0.99434
11,caffeine,mg_g,10.45723,0.1349,21.14279,0.4897,0.03828,0.99552
11,5-CQA,mg_g,7.57346,0.10943,19.56499,0.49683,0.02338,0.99488
11,TDS,g_g,0.27975,0.00446,16.03038,0.42671,3.15e-05,0.99499
12,trigonelline,mg_g,6.17348,0.332,15.48473,1.32764,0.13618,0.94866
12,caffeine,mg_g,8.97304,0.39549,23.57685,1.85949,0.3117,0.94656
12,5-CQA,mg_g,6.02455,0.29418,20.79431,1.75317,0.15129,0.94255
12,TDS,g_g,0.22578,0.01287,17.38228,1.62994,0.000236,0.93514
13,trigonelline,mg_g,6.50908,0.26715,15.53493,1.03374,0.09268,0.97024
13,caffeine,mg_g,9.67713,0.31126,23.15069,1.31948,0.19488,0.97264
13,5-CQA,mg_g,6.53399,0.25585,20.40671,1.37513,0.11588,0.96435
13,TDS,g_g,0.24308,0.01083,17.58935,1.30555,0.00017600000000000002,0.96041
14,trigonelline,mg_g,6.47069,0.1751,16.63498,0.70499,0.03894,0.98677
14,caffeine,mg_g,9.03485,0.21274,24.1222,0.98821,0.08722,0.98465
14,5-CQA,mg_g,6.35075,0.15431,21.56882,0.88151,0.04089,0.98564
14,TDS,g_g,0.22567,0.00635,18.4123,0.83369,5.7900000000000005e-05,0.98403
15,trigonelline,mg_g,6.62197,0.14144,16.37875,0.56426,0.02867,0.9911
15,caffeine,mg_g,9.45174,0.17933,23.78621,0.80464,0.06779,0.98933
15,5-CQA,mg_g,6.76424,0.14962,21.01016,0.79908,0.04192,0.98738
15,TDS,g_g,0.24533,0.00629,17.69504,0.74554,6.18e-05,0.98599
