exp,rep,component,c0_units,c0,c0_se,lambda_g,lambda_se,reduced_chisqr,adj_r2
1.0,1.0,trigonelline,mg_g,7.52657,0.26784,14.5824,0.86416,0.03464,0.99364
1.0,1.0,caffeine,mg_g,10.37012,0.28141,20.09653,0.97594,0.05389,0.99465
1.0,1.0,5-CQA,mg_g,7.31793,0.23172,18.66616,1.03956,0.03396,0.99334
1.0,1.0,TDS,g_g,0.28375,0.0088,15.6441,0.82047,4.05299e-05,0.99469
1.0,2.0,trigonelline,mg_g,7.33842,0.19183,14.70347,0.67557,0.02161,0.99611
1.0,2.0,caffeine,mg_g,10.45575,0.21807,20.6822,0.81035,0.03826,0.9964
1.0,2.0,5-CQA,mg_g,7.23158,0.16641,19.32386,0.82322,0.02103,0.99595
1.0,2.0,TDS,g_g,0.28046,0.00653,15.75813,0.65316,2.68317e-05,0.99662
1.0,3.0,trigonelline,mg_g,7.38492,0.25939,14.95105,0.93245,0.04147,0.9928
1.0,3.0,caffeine,mg_g,10.61924,0.27232,20.84684,1.01315,0.06166,0.99443
1.0,3.0,5-CQA,mg_g,7.42134,0.22187,19.36564,1.07967,0.03849,0.99307
1.0,3.0,TDS,g_g,0.28498,0.00756,15.69672,0.74622,3.69743e-05,0.99559
2.0,1.0,trigonelline,mg_g,6.34997,0.56391,16.37898,2.05844,0.0961,0.96435
2.0,1.0,caffeine,mg_g,9.11793,0.63534,24.1867,2.70832,0.20293,0.96555
2.0,1.0,5-CQA,mg_g,6.09641,0.52825,21.32115,2.84426,0.12061,0.95399
2.0,1.0,TDS,g_g,0.23318,0.02191,18.05072,2.47496,0.000166649,0.95547
2.0,2.0,trigonelline,mg_g,6.56804,0.39349,16.04181,1.45429,0.05676,0.98286
2.0,2.0,caffeine,mg_g,9.76515,0.46007,23.77141,1.89701,0.12459,0.98336
2.0,2.0,5-CQA,mg_g,6.49139,0.35971,21.0269,1.90225,0.06652,0.98005
2.0,2.0,TDS,g_g,0.24062,0.01476,17.78716,1.69956,9.1503e-05,0.97978
2.0,3.0,trigonelline,mg_g,6.48103,0.38998,16.98713,1.52118,0.05022,0.98525
