exp,flow_set_ml_s,grind_level_set,temp_set_C,rep,fraction,mass_fraction_g,mass_accumulated_g,c_trigonelline_mg_g,c_caffeine_mg_g,c_5cqa_mg_g
1.0,1.0,1.7,89.0,1.0,1.0,5.8529,2.92645,6.02585,8.79319,6.123
1.0,1.0,1.7,89.0,1.0,2.0,6.2225,8.96415,4.30933,6.91073,4.72292
1.0,1.0,1.7,89.0,1.0,3.0,5.8546,15.0027,2.74698,5.01425,3.38946
1.0,1.0,1.7,89.0,1.0,5.0,6.0395,26.78375,0.971,2.48144,1.51737
1.0,1.0,1.7,89.0,1.0,7.0,4.7278,37.3744,0.49952,1.50565,0.91194
1.0,1.0,1.7,89.0,1.0,10.0,5.5153,53.67455,0.23593,0.87868,0.51426
1.0,1.0,1.7,89.0,2.0,1.0,4.7264,2.3632,6.1382,9.18206,6.28868
1.0,1.0,1.7,89.0,2.0,2.0,6.7004,8.0766,4.43292,7.33461,4.93884
1.0,1.0,1.7,89.0,2.0,3.0,5.7439,14.29875,2.81679,5.26112,3.50771
1.0,1.0,1.7,89.0,2.0,5.0,5.2185,25.40555,1.13198,2.85676,1.77059
1.0,1.0,1.7,89.0,2.0,7.0,5.369,36.2009,0.56576,1.76107,1.07292
1.0,1.0,1.7,89.0,2.0,10.0,5.4847,52.17485,0.2412,0.97905,0.56506
1.0,1.0,1.7,89.0,3.0,1.0,4.5597,2.27985,6.18887,9.3038,6.43571
1.0,1.0,1.7,89.0,3.0,2.0,6.6216,7.8705,4.57233,7.53731,5.125
1.0,1.0,1.7,89.0,3.0,3.0,5.4948,13.9287,3.06935,5.6603,3.80953
1.0,1.0,1.7,89.0,3.0,5.0,5.3846,24.8983,1.16425,2.98295,1.85083
1.0,1.0,1.7,89.0,3.0,7.0,5.1796,35.4275,0.55253,1.77689,1.06808
1.0,1.0,1.7,89.0,3.0,10.0,5.2948,50.7916,0.24331,1.00452,0.57651
2.0,3.0,1.7,89.0,1.0,1.0,9.991,4.9955,4.88499,7.82248,5.114
2.0,3.0,1.7,89.0,1.0,2.0,6.0298,13.0059,2.50774,4.86255,2.91182
2.0,3.0,1.7,89.0,1.0,3.0,6.0548,19.0482,1.8405,3.76648,2.26957
2.0,3.0,1.7,89.0,1.0,5.0,6.3006,30.8879,1.14769,2.60045,1.51224
2.0,3.0,1.7,89.0,1.0,7.0,5.9196,42.8812,0.81837,1.96436,1.16838
2.0,3.0,1.7,89.0,1.0,10.0,5.7694,60.6217,0.33097,1.07608,0.59101
2.0,3.0,1.7,89.0,2.0,1.0,8.3641,4.18205,5.23084,8.52136,5.54959
2.0,3.0,1.7,89.0,2.0,2.0,6.3252,11.5267,2.90298,5.65109,3.45108
2.0,3.0,1.7,89.0,2.0,3.0,6.1155,17.74705,2.06792,4.29076,2.60029
2.0,3.0,1.7,89.0,2.0,5.0,5.8572,30.0391,1.20658,2.897,1.67453
2.0,3.0,1.7,89.0,2.0,7.0,5.6955,41.81185,0.70827,1.96201,1.11568
2.0,3.0,1.7,89.0,2.0,10.0,5.4624,59.0694,0.26128,1.02835,0.53599
2.0,3.0,1.7,89.0,3.0,1.0,9.6003,4.80015,4.95764,7.92782,5.27343
2.0,3.0,1.7,89.0,3.0,2.0,6.0248,12.6127,,,
2.0,3.0,1.7,89.0,3.0,3.0,5.9867,18.61845,1.89815,3.88569,2.3869
2.0,3.0,1.7,89.0,3.0,5.0,5.9668,30.2695,1.1612,2.67119,1.57133
2.0,3.0,1.7,89.0,3.0,7.0,5.6848,41.9244,0.78239,1.95308,1.15527
2.0,3.0,1.7,89.0,3.0,10.0,5.7492,59.5053,0.31558,1.08629,0.58537
3.0,2.0,1.4,89.0,1.0,1.0,6.6829,3.34145,5.61314,8.74382,5.83965
3.0,2.0,1.4,89.0,1.0,2.0,5.8907,9.62825,3.14282,5.84456,3.67001
3.0,2.0,1.4,89.0,1.0,3.0,5.9504,15.5488,2.04155,4.18368,2.57605
3.0,2.0,1.4,89.0,1.0,5.0,5.7161,26.87825,1.13542,2.66842,1.5684
3.0,2.0,1.4,89.0,1.0,7.0,5.2336,37.7527,0.74793,1.85571,1.11092
3.0,2.0,1.4,89.0,1.0,10.0,5.5266,54.1898,0.44319,1.19802,0.70617
3.0,2.0,1.4,89.0,2.0,1.0,6.8244,3.4122,5.20654,8.57154,5.51169
3.0,2.0,1.4,89.0,2.0,2.0,5.6773,9.66305,2.96814,5.68263,3.43284
3.0,2.0,1.4,89.0,2.0,3.0,5.8248,15.4141,2.16572,4.40776,2.65754
3.0,2.0,1.4,89.0,2.0,5.0,5.5776,27.0472,1.30818,2.99185,1.73461
