component,brew_ratio,beta_units,beta0,beta1,beta2,beta3,beta4,beta5,beta6,beta7,beta8,beta9,adj_r2
Trigonelline,1/1,mg,185.8,-9.17,105.9,-4.48,0.0,-30.96,0.03,3.24,0.0,0.0,0.66
Trigonelline,1/2,mg,134.6,4.28,163.33,-4.4,0.0,-47.8,0.03,4.92,-0.18,0.0,0.6
Trigonelline,1/3,mg,99.9,8.54,184.84,-4.06,0.0,-54.17,0.03,5.71,-0.24,0.0,0.58
Caffeine,1/1,mg,192.0,-13.85,118.83,-3.59,0.0,-38.45,0.02,5.52,0.0,0.0,0.5
Caffeine,1/2,mg,-9.2,2.92,149.27,0.97,0.0,-48.37,0.0,7.57,-0.21,0.0,0.41
Caffeine,1/3,mg,-57.7,15.87,186.29,1.37,0.0,-59.53,0.0,8.42,-0.34,0.0,0.42
5-CQA,1/1,mg,112.2,-10.32,56.75,-1.74,0.0,-16.42,0.01,3.33,0.0,0.0,0.69
5-CQA,1/2,mg,-10.4,2.96,83.84,0.74,0.0,-24.01,0.0,4.97,-0.18,0.0,0.62
5-CQA,1/3,mg,-54.7,13.94,119.15,1.02,0.0,-34.02,0.0,4.93,-0.3,0.0,0.57
TDS,1/1,g,3.65,-0.7,2.78,-0.06,0.05,-0.91,0.001,0.19,0.0,0.0,0.75
TDS,1/2,g,4.19,-0.5,4.75,-0.1,0.0,-1.48,0.001,0.21,0.0,0.0,0.64
TDS,1/3,g,2.91,0.12,6.16,-0.11,0.0,-1.87,0.001,0.2,-0.01,0.0,0.57
