source_publication_id,direction,rank,stable_id,screening_state,retrieval_date
bruno2026,BACKWARD,1,https://openalex.org/W1515492821,SCREENED,2026-08-25
bruno2026,BACKWARD,2,https://openalex.org/W1569052678,SCREENED,2026-08-25
bruno2026,BACKWARD,3,https://openalex.org/W1720542329,SCREENED,2026-08-25
bruno2026,BACKWARD,4,https://openalex.org/W1978020874,SCREENED,2026-08-25
bruno2026,BACKWARD,5,https://openalex.org/W1986604088,SCREENED,2026-08-25
bruno2026,BACKWARD,6,https://openalex.org/W1991289106,SCREENED,2026-08-25
bruno2026,BACKWARD,7,https://openalex.org/W1991689027,SCREENED,2026-08-25
bruno2026,BACKWARD,8,https://openalex.org/W2011947404,SCREENED,2026-08-25
bruno2026,BACKWARD,9,https://openalex.org/W2016400047,SCREENED,2026-08-25
bruno2026,BACKWARD,10,https://openalex.org/W2018313881,SCREENED,2026-08-25
bruno2026,BACKWARD,11,https://openalex.org/W2039509469,SCREENED,2026-08-25
bruno2026,BACKWARD,12,https://openalex.org/W2048322438,SCREENED,2026-08-25
bruno2026,BACKWARD,13,https://openalex.org/W2066084411,SCREENED,2026-08-25
bruno2026,BACKWARD,14,https://openalex.org/W2069584550,SCREENED,2026-08-25
bruno2026,BACKWARD,15,https://openalex.org/W2087657560,SCREENED,2026-08-25
bruno2026,BACKWARD,16,https://openalex.org/W2090706582,SCREENED,2026-08-25
bruno2026,BACKWARD,17,https://openalex.org/W2094941685,SCREENED,2026-08-25
bruno2026,BACKWARD,18,https://openalex.org/W2109501042,SCREENED,2026-08-25
bruno2026,BACKWARD,19,https://openalex.org/W2115530946,SCREENED,2026-08-25
bruno2026,BACKWARD,20,https://openalex.org/W2117453669,SCREENED,2026-08-25
bruno2026,FORWARD,1,https://openalex.org/W7171542429,SCREENED,2026-08-25
dias2015,BACKWARD,1,https://openalex.org/W272122174,SCREENED,2026-08-25
dias2015,BACKWARD,2,https://openalex.org/W1966727889,SCREENED,2026-08-25
dias2015,BACKWARD,3,https://openalex.org/W1968099033,SCREENED,2026-08-25
dias2015,BACKWARD,4,https://openalex.org/W1970260026,SCREENED,2026-08-25
dias2015,BACKWARD,5,https://openalex.org/W1974177724,SCREENED,2026-08-25
dias2015,BACKWARD,6,https://openalex.org/W1981657629,SCREENED,2026-08-25
dias2015,BACKWARD,7,https://openalex.org/W1988750272,SCREENED,2026-08-25
dias2015,BACKWARD,8,https://openalex.org/W1999188170,SCREENED,2026-08-25
dias2015,BACKWARD,9,https://openalex.org/W2005861911,SCREENED,2026-08-25
dias2015,BACKWARD,10,https://openalex.org/W2012949093,SCREENED,2026-08-25
dias2015,BACKWARD,11,https://openalex.org/W2013010647,SCREENED,2026-08-25
dias2015,BACKWARD,12,https://openalex.org/W2017879046,SCREENED,2026-08-25
dias2015,BACKWARD,13,https://openalex.org/W2021751921,SCREENED,2026-08-25
dias2015,BACKWARD,14,https://openalex.org/W2023256122,SCREENED,2026-08-25
dias2015,BACKWARD,15,https://openalex.org/W2025595509,SCREENED,2026-08-25
dias2015,BACKWARD,16,https://openalex.org/W2026565755,SCREENED,2026-08-25
dias2015,BACKWARD,17,https://openalex.org/W2027936164,SCREENED,2026-08-25
dias2015,BACKWARD,18,https://openalex.org/W2029600501,SCREENED,2026-08-25
dias2015,BACKWARD,19,https://openalex.org/W2031812992,SCREENED,2026-08-25
dias2015,BACKWARD,20,https://openalex.org/W2033188722,SCREENED,2026-08-25
dias2015,FORWARD,1,https://openalex.org/W2898974394,SCREENED,2026-08-25
dias2015,FORWARD,2,https://openalex.org/W4315434962,SCREENED,2026-08-25
dias2015,FORWARD,3,https://openalex.org/W3184379184,SCREENED,2026-08-25
dias2015,FORWARD,4,https://openalex.org/W4210718993,SCREENED,2026-08-25
dias2015,FORWARD,5,https://openalex.org/W3048698335,SCREENED,2026-08-25
dias2015,FORWARD,6,https://openalex.org/W2793572787,SCREENED,2026-08-25
dias2015,FORWARD,7,https://openalex.org/W2905424232,SCREENED,2026-08-25
dias2015,FORWARD,8,https://openalex.org/W4251929354,SCREENED,2026-08-25
dias2015,FORWARD,9,https://openalex.org/W4384701296,SCREENED,2026-08-25
dias2015,FORWARD,10,https://openalex.org/W4376148961,SCREENED,2026-08-25
dias2015,FORWARD,11,https://openalex.org/W3113360531,SCREENED,2026-08-25
dias2015,FORWARD,12,https://openalex.org/W3049139697,SCREENED,2026-08-25
dias2015,FORWARD,13,https://openalex.org/W2894672029,SCREENED,2026-08-25
dias2015,FORWARD,14,https://openalex.org/W4280496772,SCREENED,2026-08-25
dias2015,FORWARD,15,https://openalex.org/W3141632182,SCREENED,2026-08-25
dias2015,FORWARD,16,https://openalex.org/W4387079089,SCREENED,2026-08-25
dias2015,FORWARD,17,https://openalex.org/W4308127577,SCREENED,2026-08-25
dias2015,FORWARD,18,https://openalex.org/W2889173756,SCREENED,2026-08-25
dias2015,FORWARD,19,https://openalex.org/W3199340388,SCREENED,2026-08-25
dias2015,FORWARD,20,https://openalex.org/W3003676065,SCREENED,2026-08-25
viencz2023,BACKWARD,1,https://openalex.org/W180836830,SCREENED,2026-08-25
viencz2023,BACKWARD,2,https://openalex.org/W1553669673,SCREENED,2026-08-25
viencz2023,BACKWARD,3,https://openalex.org/W1562476510,SCREENED,2026-08-25
viencz2023,BACKWARD,4,https://openalex.org/W1696596114,SCREENED,2026-08-25
viencz2023,BACKWARD,5,https://openalex.org/W1970171293,SCREENED,2026-08-25
viencz2023,BACKWARD,6,https://openalex.org/W1979815711,SCREENED,2026-08-25
viencz2023,BACKWARD,7,https://openalex.org/W1980914868,SCREENED,2026-08-25
viencz2023,BACKWARD,8,https://openalex.org/W2031812992,SCREENED,2026-08-25
viencz2023,BACKWARD,9,https://openalex.org/W2033146070,SCREENED,2026-08-25
viencz2023,BACKWARD,10,https://openalex.org/W2033188722,SCREENED,2026-08-25
viencz2023,BACKWARD,11,https://openalex.org/W2063687797,SCREENED,2026-08-25
viencz2023,BACKWARD,12,https://openalex.org/W2079960022,SCREENED,2026-08-25
viencz2023,BACKWARD,13,https://openalex.org/W2105415061,SCREENED,2026-08-25
viencz2023,BACKWARD,14,https://openalex.org/W2327710023,SCREENED,2026-08-25
viencz2023,BACKWARD,15,https://openalex.org/W2501155183,SCREENED,2026-08-25
viencz2023,BACKWARD,16,https://openalex.org/W2511072941,SCREENED,2026-08-25
viencz2023,BACKWARD,17,https://openalex.org/W2567566384,SCREENED,2026-08-25
viencz2023,BACKWARD,18,https://openalex.org/W2811340131,SCREENED,2026-08-25
viencz2023,BACKWARD,19,https://openalex.org/W2894672029,SCREENED,2026-08-25
viencz2023,BACKWARD,20,https://openalex.org/W2939085652,SCREENED,2026-08-25
viencz2023,FORWARD,1,https://openalex.org/W4392303364,SCREENED,2026-08-25
viencz2023,FORWARD,2,https://openalex.org/W4385069482,SCREENED,2026-08-25
viencz2023,FORWARD,3,https://openalex.org/W4406679431,SCREENED,2026-08-25
viencz2023,FORWARD,4,https://openalex.org/W4406985660,SCREENED,2026-08-25
viencz2023,FORWARD,5,https://openalex.org/W4410835729,SCREENED,2026-08-25
viencz2023,FORWARD,6,https://openalex.org/W4401281269,SCREENED,2026-08-25
