base_coffee_material_id,roast_batch_id,source_publication_id,data_lineage_id,laboratory_id,species_common,species_scientific,species_fraction,variety_cultivar,origin_country,origin_region,farm_estate_lot,processing_method,harvest_year,material_form,roast_category_published,roast_category_harmonized,roast_metric_type,roast_metric_value,roast_metric_units,colour_metric,roast_temperature_history,roast_duration,roast_mass_loss,moisture_value,moisture_basis,dose_sample_mass_basis,descriptor_provenance,descriptor_missingness_flags
dias_r000,dias_r000_light,dias2015,dias2015_table2,lab_uel_benassi,Arabica,Coffea arabica,0.0,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r000,dias_r000_medium,dias2015,dias2015_table2,lab_uel_benassi,Arabica,Coffea arabica,0.0,IAPAR59/Apoata,Brazil,,,,,ground,medium,medium,roast_mass_loss,17,percent mass loss,,,,17,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r000,dias_r000_dark,dias2015,dias2015_table2,lab_uel_benassi,Arabica,Coffea arabica,0.0,IAPAR59/Apoata,Brazil,,,,,ground,dark,dark,roast_mass_loss,20,percent mass loss,,,,20,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r020,dias_r020_light,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.2,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r020,dias_r020_medium,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.2,IAPAR59/Apoata,Brazil,,,,,ground,medium,medium,roast_mass_loss,17,percent mass loss,,,,17,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r020,dias_r020_dark,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.2,IAPAR59/Apoata,Brazil,,,,,ground,dark,dark,roast_mass_loss,20,percent mass loss,,,,20,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r030,dias_r030_light,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.3,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r030,dias_r030_medium,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.3,IAPAR59/Apoata,Brazil,,,,,ground,medium,medium,roast_mass_loss,17,percent mass loss,,,,17,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r030,dias_r030_dark,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.3,IAPAR59/Apoata,Brazil,,,,,ground,dark,dark,roast_mass_loss,20,percent mass loss,,,,20,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r050,dias_r050_light,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.5,IAPAR59/Apoata,Brazil,,,,,ground,light,light,roast_mass_loss,13,percent mass loss,,,,13,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
dias_r050,dias_r050_medium,dias2015,dias2015_table2,lab_uel_benassi,Blend,Blend,0.5,IAPAR59/Apoata,Brazil,,,,,ground,medium,medium,roast_mass_loss,17,percent mass loss,,,,17,2 base coffees; blends share both parents,wet_basis,dry roasted coffee,,
