particle_size_um,plsr_model_coefficient,pixel_x,pixel_y,blob_area_px,markers_in_blob
10.2,1.1329,157.0,604.8,76,1
10.4,1.0633,161.6,633.2,74,1
10.8,0.8647,167.4,714.5,74,1
11.0,1.63,171.8,401.3,76,1
11.2,1.0414,175.7,642.2,76,1
11.5,0.9832,180.9,666.0,147,2
11.8,0.6027,186.1,821.8,76,1
12.1,0.98,190.5,667.3,147,2
12.4,1.018,195.7,651.8,76,1
12.8,1.4329,200.9,482.0,75,1
13.1,0.8538,206.0,719.0,73,1
13.4,1.048,210.6,639.5,75,1
13.8,1.3116,215.7,531.6,74,1
14.1,1.5243,220.4,444.6,73,1
14.5,1.2752,225.4,546.5,75,1
14.9,1.1228,230.2,608.9,132,2
15.3,1.1354,235.5,603.7,132,2
15.6,0.8762,239.6,709.8,76,1
16.0,1.2751,244.2,546.6,74,1
16.4,1.0556,249.4,636.4,75,1
16.8,1.2406,254.5,560.7,72,1
17.3,1.6692,259.6,385.3,75,1
17.7,1.5969,264.2,414.8,73,1
18.1,0.9405,268.6,683.5,74,1
18.6,0.9122,273.9,695.1,74,1
19.1,0.9803,278.9,667.2,151,2
19.6,0.8016,283.6,740.4,73,1
20.1,0.9787,288.7,667.9,151,2
20.6,1.5086,293.8,451.0,74,1
21.1,1.3501,298.1,515.8,130,2
21.6,1.3629,303.2,510.6,130,2
22.2,1.7847,308.0,338.0,73,1
22.8,1.7383,312.9,357.0,139,2
23.4,1.7521,318.5,351.3,139,2
24.0,1.8022,322.8,330.8,73,1
24.6,1.3776,328.1,504.6,78,1
25.2,1.5953,332.5,415.5,76,1
25.9,1.5039,337.8,452.9,75,1
26.5,1.4391,342.4,479.4,73,1
27.1,1.4898,346.8,458.7,76,1
27.8,1.8306,351.9,319.2,75,1
28.5,1.6299,356.4,401.4,73,1
29.2,1.8763,361.6,300.5,75,1
30.0,1.6413,366.8,396.7,76,1
30.7,1.8384,371.3,316.0,148,2
31.6,1.8206,376.4,323.3,148,2
32.4,1.5119,381.6,449.6,73,1
33.2,2.0545,386.2,227.6,74,1
34.0,2.1144,390.7,203.1,78,1
34.9,2.2204,395.8,159.7,76,1
35.8,2.0181,401.0,242.5,78,1
36.7,2.2089,405.5,164.4,74,1
37.6,2.0296,410.7,237.8,76,1
38.5,2.4584,415.2,62.3,76,1
39.6,2.0689,420.4,221.7,74,1
40.5,2.3055,424.8,124.8,73,1
41.6,2.0418,430.1,232.8,75,1
42.6,1.9075,434.6,287.8,124,2
43.8,1.8975,440.1,291.8,124,2
44.8,2.3843,444.3,92.6,74,1
46.0,2.4697,449.4,57.6,73,1
47.2,2.0702,454.6,221.2,75,1
48.3,2.1839,459.3,174.6,75,1
49.6,2.4302,464.3,73.8,75,1
50.7,2.1423,468.4,191.6,135,2
52.2,2.1543,474.1,186.7,135,2
53.3,2.2847,478.4,133.4,73,1
54.8,2.2425,483.6,150.6,73,1
56.2,2.1697,488.6,180.4,73,1
57.6,2.2549,493.4,145.6,73,1
59.2,2.3687,498.5,99.0,78,1
60.5,2.2851,502.9,133.2,75,1
62.2,2.4364,508.2,71.3,76,1
63.6,2.2455,512.6,149.4,74,1
65.3,2.075,517.7,219.2,75,1
66.8,2.4886,522.2,49.9,75,1
68.7,2.3068,527.5,124.3,72,1
70.3,1.7328,532.0,359.2,76,1
72.2,2.0812,537.3,216.6,75,1
74.1,2.3795,542.4,94.6,73,1
75.8,2.2281,546.7,156.5,73,1
77.9,2.1462,552.0,190.1,74,1
79.7,2.2896,556.5,131.4,74,1
81.9,1.9913,561.6,253.4,73,1
83.8,2.5012,566.2,44.8,75,1
86.1,2.2169,571.4,161.1,77,1
88.1,2.4491,575.9,66.1,74,1
90.5,2.3085,581.1,123.6,77,1
92.9,2.3685,586.2,99.1,75,1
95.1,1.7091,590.8,368.9,75,1
97.6,2.0089,595.8,246.3,75,1
100.6,2.4428,601.7,68.7,186,2
104.9,2.455,609.9,63.7,186,2
107.9,2.4209,615.3,77.6,216,3
110.3,2.4012,619.5,85.7,216,3
113.5,2.4159,625.1,79.7,216,3
116.5,2.3129,630.1,121.8,144,2
119.3,2.3309,634.7,114.5,144,2
122.4,2.2961,639.8,128.7,76,1
125.3,2.2598,644.4,143.6,73,1
128.7,2.0701,649.5,221.2,75,1
131.7,1.979,654.0,258.5,78,1
135.2,1.8699,659.2,303.2,73,1
138.4,1.7468,663.6,353.5,74,1
142.2,1.5529,668.8,432.8,73,1
146.0,1.4627,674.1,469.8,75,1
149.5,1.3259,678.6,525.8,74,1
153.1,1.2025,683.2,576.3,134,2
157.3,1.1894,688.4,581.6,134,2
163.2,1.1023,695.6,617.3,111,1
169.5,1.0368,703.0,644.1,74,1
173.1,1.0002,707.1,659.0,129,2
178.8,1.0059,713.4,656.8,129,2
182.4,0.9656,717.3,673.2,76,1
187.4,0.9026,722.5,699.0,78,1
192.4,1.023,727.6,649.7,75,1
196.8,0.9769,732.0,668.6,71,1
207.9,0.9385,742.6,684.3,42,1
208.9,0.9715,743.6,670.8,39,1
218.1,0.9438,752.0,682.2,46,1
228.0,0.9692,760.6,671.8,37,1
239.2,0.9669,769.9,672.7,62,1
244.0,1.0017,773.8,658.5,30,1
247.8,0.9749,776.8,669.4,30,1
255.2,0.98,782.5,667.3,35,1
265.4,0.9886,790.1,663.8,68,1
267.2,0.9047,791.5,698.2,140,2
