family,run_index,particle_size_um,distribution_density_pct
family_red,0,19.81,-0.199
family_red,0,19.91,-0.199
family_red,0,20.02,-0.199
family_red,0,20.12,-0.1992
family_red,0,20.22,-0.199
family_red,0,20.86,-0.1967
family_red,0,20.97,-0.1965
family_red,0,21.08,-0.1961
family_red,0,21.18,-0.1958
family_red,0,21.74,-0.1954
family_red,0,21.85,-0.1954
family_red,0,21.96,-0.1927
family_red,1,21.96,-0.1949
family_red,0,22.07,-0.1927
family_red,0,22.19,-0.192
family_red,0,22.3,-0.1918
family_red,0,22.77,-0.19
family_red,0,22.88,-0.1897
family_red,0,23.0,-0.1895
family_red,0,23.12,-0.1893
family_red,1,23.12,-0.194
family_red,0,23.24,-0.1891
family_red,1,23.24,-0.194
family_red,0,23.36,-0.1886
family_red,1,23.36,-0.1938
family_red,0,23.48,-0.1882
family_red,1,23.48,-0.1938
family_red,0,23.6,-0.1882
family_red,1,23.6,-0.1934
family_red,0,23.72,-0.1877
family_red,1,23.72,-0.1929
family_red,0,23.85,-0.1891
family_red,1,23.85,-0.1925
family_red,0,23.97,-0.192
family_red,0,24.09,-0.1886
family_red,1,24.09,-0.192
family_red,0,24.22,-0.1886
family_red,1,24.22,-0.1915
family_red,0,24.34,-0.1918
family_red,0,24.47,-0.1879
family_red,0,24.59,-0.1879
family_red,0,24.72,-0.1877
family_red,0,24.85,-0.187
family_red,0,25.11,-0.1891
family_red,0,25.37,-0.1861
family_red,0,25.5,-0.1836
family_red,1,25.5,-0.1863
family_red,0,25.63,-0.1868
family_red,0,25.76,-0.187
family_red,0,25.89,-0.187
family_red,0,26.03,-0.1873
family_red,0,26.3,-0.1827
family_red,0,26.43,-0.1816
family_red,0,26.57,-0.1805
family_red,0,26.71,-0.18
family_red,0,26.84,-0.1798
family_red,1,26.84,-0.185
family_red,0,26.98,-0.1845
family_red,0,27.12,-0.1843
family_red,0,27.26,-0.1836
family_red,0,27.4,-0.183
family_red,0,27.54,-0.1825
family_red,0,27.69,-0.1818
family_red,0,27.83,-0.1814
family_red,0,27.97,-0.1809
family_red,0,28.12,-0.1798
family_red,0,28.26,-0.1793
family_red,0,28.41,-0.1771
family_red,0,28.55,-0.1769
family_red,0,28.7,-0.1757
family_red,0,28.85,-0.175
family_red,0,29.0,-0.1739
family_red,0,29.15,-0.1683
family_red,1,29.15,-0.1735
family_red,0,29.91,-0.1653
family_red,0,30.06,-0.1651
family_red,0,30.22,-0.1653
family_red,1,30.22,-0.1687
family_red,0,30.37,-0.1626
family_red,1,30.37,-0.1678
family_red,0,30.53,-0.1671
family_red,0,30.69,-0.1667
family_red,0,30.85,-0.1667
family_red,0,31.0,-0.1671
family_red,0,31.16,-0.1567
family_red,1,31.16,-0.1683
family_red,0,31.33,-0.1561
family_red,1,31.33,-0.1687
family_red,0,31.49,-0.1606
family_red,1,31.49,-0.1701
family_red,0,31.65,-0.1604
family_red,1,31.65,-0.1703
family_red,0,31.81,-0.1531
family_red,1,31.81,-0.159
family_red,2,31.81,-0.1701
family_red,0,31.98,-0.1524
family_red,1,31.98,-0.1581
family_red,2,31.98,-0.1694
family_red,0,32.14,-0.157
family_red,1,32.14,-0.1689
family_red,0,32.31,-0.1561
family_red,1,32.31,-0.1683
family_red,0,32.47,-0.1671
family_red,0,32.64,-0.1667
family_red,0,33.32,-0.1531
family_red,0,33.49,-0.1472
family_red,1,33.49,-0.1538
family_red,2,33.49,-0.1581
family_red,0,33.67,-0.1542
family_red,1,33.67,-0.1585
family_red,0,33.84,-0.1445
family_red,1,33.84,-0.1583
family_red,0,34.01,-0.1443
family_red,1,34.01,-0.1579
family_red,2,34.01,-0.1604
family_red,0,34.19,-0.159
family_red,0,34.37,-0.1585
family_red,0,34.54,-0.1402
family_red,1,34.54,-0.1581
family_red,0,34.72,-0.1393
family_red,1,34.72,-0.1576
family_red,0,34.9,-0.1387
family_red,1,34.9,-0.1563
family_red,0,35.08,-0.1389
family_red,1,35.08,-0.1542
family_red,2,35.08,-0.1581
family_red,0,35.26,-0.1576
family_red,0,35.44,-0.1461
family_red,1,35.44,-0.1574
family_red,0,35.63,-0.1443
family_red,1,35.63,-0.1567
family_red,0,35.81,-0.1434
family_red,1,35.81,-0.157
family_red,0,36.0,-0.1416
family_red,1,36.0,-0.1434
family_red,2,36.0,-0.1576
family_red,0,36.18,-0.1427
family_red,1,36.18,-0.1579
family_red,0,36.37,-0.1425
family_red,1,36.37,-0.159
family_red,0,36.56,-0.1425
family_red,1,36.56,-0.1599
family_red,0,36.75,-0.1418
family_red,1,36.75,-0.1439
family_red,2,36.75,-0.1597
family_red,0,36.93,-0.1416
family_red,1,36.93,-0.1439
family_red,2,36.93,-0.1585
family_red,0,37.13,-0.1411
family_red,1,37.13,-0.1552
family_red,0,37.32,-0.1409
family_red,1,37.32,-0.154
family_red,0,37.51,-0.1407
family_red,1,37.51,-0.1511
family_red,0,37.7,-0.1409
family_red,1,37.7,-0.1497
family_red,0,37.9,-0.1414
family_red,1,37.9,-0.1509
family_red,0,38.09,-0.1414
family_red,1,38.09,-0.1524
family_red,0,38.29,-0.1434
family_red,1,38.29,-0.1547
family_red,0,38.49,-0.1561
family_red,0,38.69,-0.1423
family_red,1,38.69,-0.1572
family_red,0,38.89,-0.1427
family_red,1,38.89,-0.1576
family_red,0,39.49,-0.164
family_red,0,39.69,-0.164
family_red,0,39.9,-0.1581
family_red,0,40.11,-0.1545
family_red,1,40.11,-0.1606
family_red,0,40.31,-0.152
family_red,1,40.31,-0.1597
family_red,0,40.52,-0.1518
family_red,1,40.52,-0.1588
family_red,0,40.73,-0.1518
family_red,1,40.73,-0.1576
family_red,0,40.94,-0.1561
family_red,0,41.15,-0.1561
family_red,0,41.36,-0.1601
family_red,0,41.58,-0.1613
family_red,0,41.79,-0.161
family_red,0,42.01,-0.1579
family_red,0,42.22,-0.1563
family_red,0,42.44,-0.154
family_red,0,42.66,-0.1531
