measured_time_s,predicted_time_s,pixel_x,pixel_y,blob_area_px,markers_in_blob
8.27,9.83,238.5,734.5,52,1
8.92,9.83,247.1,734.4,79,2
9.31,9.83,252.2,734.5,79,2
11.93,11.56,286.8,710.7,90,2
12.45,11.6,293.7,710.1,90,2
17.05,16.71,354.4,639.8,124,3
17.27,16.23,357.3,646.4,124,3
17.44,16.81,359.6,638.4,124,3
18.26,16.83,370.4,638.1,45,1
19.66,16.23,388.9,646.5,59,1
22.46,21.8,425.9,569.8,54,1
22.65,32.98,428.4,416.0,50,1
23.32,32.98,437.3,416.0,52,1
23.93,21.8,445.2,569.8,50,1
26.01,21.81,472.7,569.7,49,1
26.65,32.98,481.2,416.0,53,1
28.37,32.98,504.0,416.0,50,1
29.79,33.44,522.7,409.7,49,1
31.07,31.96,539.5,430.0,44,1
33.06,33.48,565.8,409.2,57,1
33.15,31.97,567.1,429.9,49,1
34.55,31.97,585.5,429.9,45,1
35.02,43.44,591.7,272.2,50,1
37.06,43.43,618.7,272.3,47,1
38.69,43.44,640.1,272.2,48,1
39.73,43.43,653.8,272.2,49,1
42.91,40.11,695.9,318.0,50,1
45.53,40.11,730.5,318.0,90,2
45.97,40.1,736.4,318.1,90,2
51.6,58.77,810.6,61.3,48,1
54.84,52.97,853.5,141.0,45,1
55.38,58.77,860.6,61.2,45,1
55.47,51.57,861.7,160.2,45,1
57.58,51.58,889.6,160.2,45,1
58.55,51.58,902.4,160.1,44,1
59.92,52.99,920.5,140.8,50,1
60.64,52.98,930.0,141.0,51,1
