measured_yield_pct,predicted_yield_pct,pixel_x,pixel_y,blob_area_px,markers_in_blob
16.401,16.644,1225.1,780.1,45,1
16.686,16.645,1262.9,779.9,43,1
16.77,16.598,1274.0,786.4,97,2
16.81,16.634,1279.4,781.5,97,2
17.417,17.832,1359.8,615.8,51,1
17.532,17.863,1375.0,611.5,91,2
17.571,17.836,1380.2,615.3,91,2
18.697,18.864,1529.5,473.3,48,1
18.743,18.582,1535.6,512.2,96,2
18.784,18.608,1541.1,508.6,96,2
18.861,18.989,1551.2,455.9,45,1
18.999,19.31,1569.5,411.6,50,1
19.014,19.39,1571.5,400.5,52,1
19.293,19.499,1608.5,385.5,52,1
19.311,18.991,1610.9,455.7,49,1
19.348,19.32,1615.8,410.2,29,1
19.358,18.653,1617.1,502.3,43,1
19.468,19.749,1631.7,350.9,53,1
19.531,19.815,1640.1,341.8,45,1
19.67,19.807,1658.5,342.9,47,1
19.709,19.919,1663.7,327.4,49,1
19.712,19.597,1664.0,371.9,80,2
19.722,19.553,1665.3,377.9,80,2
19.795,19.502,1675.1,385.1,47,1
19.798,19.728,1675.5,353.8,43,1
19.871,20.571,1685.0,237.3,46,1
19.919,20.268,1691.4,279.2,51,1
19.952,20.018,1695.9,313.8,45,1
20.147,19.928,1721.7,326.2,49,1
20.179,19.995,1726.0,316.8,49,1
20.195,20.704,1728.1,218.9,51,1
20.251,20.488,1735.4,248.8,45,1
20.353,20.744,1749.0,213.3,44,1
20.453,20.926,1762.2,188.2,45,1
20.59,20.076,1780.4,305.7,49,1
20.704,20.931,1795.5,187.5,44,1
20.756,20.871,1802.4,195.8,45,1
20.808,20.454,1809.2,253.4,47,1
20.842,21.01,1813.8,176.6,47,1
20.906,20.432,1822.2,256.6,47,1
20.956,21.113,1828.9,162.4,42,1
20.96,20.926,1829.4,188.2,36,1
20.96,20.28,1829.4,277.5,49,1
21.164,20.871,1856.4,195.8,47,1
21.262,20.565,1869.5,238.2,40,1
21.293,21.031,1873.6,173.8,47,1
21.305,20.912,1875.2,190.2,51,1
