panel,added_fines_g,extraction_yield_pct,ptrms_signal_ncps,signal_err_lo,signal_err_hi,yield_err_lo,yield_err_hi,pixel_x,pixel_y,note
a,0,16.663,12400.0,12015.6,12784.4,16.474,16.853,215.5,103.5,
a,1,17.497,11875.0,11271.9,12471.9,17.427,17.584,305.5,187.5,
a,0,18.959,11696.9,11303.1,12046.9,18.64,19.278,463.5,216.0,
a,2,18.959,10709.4,10478.1,10940.6,18.612,19.667,463.5,374.0,
a,1,19.089,11309.4,10971.9,11696.9,18.927,19.797,477.5,278.0,
a,0,19.538,11278.1,10546.9,12003.1,19.269,19.797,526.0,283.0,
a,4,19.658,10168.7,9584.4,10753.1,19.491,20.056,539.0,460.5,
a,2,19.848,9740.6,9359.4,10221.9,19.565,20.139,559.5,529.0,
a,1,20.047,10456.2,10084.4,10821.9,19.612,20.5,581.0,414.5,
a,2,20.292,8971.9,8728.1,9346.9,19.899,20.787,607.5,652.0,
a,4,20.639,9771.9,9221.9,10428.1,19.565,21.37,645.0,524.0,yield error bar unreliable (adjacent bars merged in crowded region)
a,0,20.662,10271.9,9221.9,10428.1,20.056,21.102,647.5,444.0,
a,0,20.773,9346.9,8815.6,10071.9,20.222,21.333,659.5,592.0,
a,0,20.889,10040.6,9771.9,10271.9,20.639,20.981,672.0,481.0,
a,4,21.056,9268.7,9009.4,9528.1,20.639,21.241,690.0,604.5,
b,0,16.661,221.1,186.9,255.1,16.474,16.849,218.5,1091.0,
b,1,17.493,162.8,153.5,171.7,17.424,17.589,309.5,1386.0,
b,0,18.956,156.6,126.4,163.2,18.64,21.108,469.5,1417.5,yield error bar unreliable (adjacent bars merged in crowded region)
b,2,18.956,136.7,126.4,163.2,18.613,20.057,469.5,1518.0,yield error bar unreliable (adjacent bars merged in crowded region)
b,1,19.088,147.6,143.6,156.5,18.933,19.271,484.0,1463.0,
b,0,19.536,158.8,144.8,172.5,19.28,21.108,533.0,1406.5,yield error bar unreliable (adjacent bars merged in crowded region)
b,4,19.659,137.0,125.2,152.1,18.613,20.057,546.5,1516.5,yield error bar unreliable (adjacent bars merged in crowded region)
b,2,19.851,147.6,135.3,158.5,19.527,20.139,567.5,1463.0,
b,1,20.043,152.1,135.9,168.1,19.527,20.688,588.5,1440.0,
b,2,20.29,153.7,148.8,162.8,19.527,20.697,615.5,1432.0,
