series,run_index,time_s,flow_rate_g_per_s
no_added_fines_yellow,0,0.85,0.0364
no_added_fines_yellow,0,0.9,0.0364
no_added_fines_yellow,0,1.12,0.0142
no_added_fines_yellow,0,1.18,0.0182
no_added_fines_yellow,0,1.23,0.0243
no_added_fines_yellow,0,1.29,0.0263
no_added_fines_yellow,0,1.34,0.0223
no_added_fines_yellow,0,1.39,0.0162
no_added_fines_yellow,0,1.45,0.0121
no_added_fines_yellow,0,1.94,0.0121
no_added_fines_yellow,0,1.99,0.0142
no_added_fines_yellow,0,2.05,0.0182
no_added_fines_yellow,0,2.1,0.1032
no_added_fines_yellow,1,2.1,0.0344
no_added_fines_yellow,0,2.16,0.1699
no_added_fines_yellow,1,2.16,0.1032
no_added_fines_yellow,2,2.16,0.0324
no_added_fines_yellow,0,2.21,0.2347
no_added_fines_yellow,1,2.21,0.1699
no_added_fines_yellow,2,2.21,0.0121
no_added_fines_yellow,0,2.27,0.2994
no_added_fines_yellow,1,2.27,0.2327
no_added_fines_yellow,0,2.32,0.3642
no_added_fines_yellow,1,2.32,0.2994
no_added_fines_yellow,0,2.37,0.4289
no_added_fines_yellow,1,2.37,0.3662
no_added_fines_yellow,0,2.43,0.4289
no_added_fines_yellow,0,2.48,0.4957
no_added_fines_yellow,1,2.48,0.0303
no_added_fines_yellow,0,2.54,0.5564
no_added_fines_yellow,1,2.54,0.4957
no_added_fines_yellow,2,2.54,0.0566
no_added_fines_yellow,0,2.59,0.5604
no_added_fines_yellow,1,2.59,0.1052
no_added_fines_yellow,0,2.65,0.6211
no_added_fines_yellow,1,2.65,0.1558
no_added_fines_yellow,0,2.7,0.7364
no_added_fines_yellow,1,2.7,0.6899
no_added_fines_yellow,2,2.7,0.6231
no_added_fines_yellow,3,2.7,0.2549
no_added_fines_yellow,4,2.7,0.0627
no_added_fines_yellow,0,2.76,0.7506
no_added_fines_yellow,1,2.76,0.6899
no_added_fines_yellow,2,2.76,0.3237
no_added_fines_yellow,3,2.76,0.0627
no_added_fines_yellow,0,2.81,0.8173
no_added_fines_yellow,1,2.81,0.7526
no_added_fines_yellow,2,2.81,0.4957
no_added_fines_yellow,3,2.81,0.1497
no_added_fines_yellow,0,2.86,0.8194
no_added_fines_yellow,1,2.86,0.6292
no_added_fines_yellow,2,2.86,0.3824
no_added_fines_yellow,3,2.86,0.1477
no_added_fines_yellow,0,2.92,0.7728
no_added_fines_yellow,1,2.92,0.2387
no_added_fines_yellow,0,2.97,0.8841
no_added_fines_yellow,1,2.97,0.3197
no_added_fines_yellow,2,2.97,0.0303
no_added_fines_yellow,0,3.03,1.0075
no_added_fines_yellow,1,3.03,0.441
no_added_fines_yellow,2,3.03,0.0324
no_added_fines_yellow,0,3.08,1.0864
no_added_fines_yellow,1,3.08,0.9488
no_added_fines_yellow,2,3.08,0.5543
no_added_fines_yellow,3,3.08,0.3298
no_added_fines_yellow,4,3.08,0.3075
no_added_fines_yellow,5,3.08,0.265
no_added_fines_yellow,6,3.08,0.0243
no_added_fines_yellow,0,3.14,1.1835
no_added_fines_yellow,1,3.14,1.0116
no_added_fines_yellow,2,3.14,0.6656
no_added_fines_yellow,3,3.14,0.0445
no_added_fines_yellow,0,3.19,1.2361
no_added_fines_yellow,1,3.19,1.0136
no_added_fines_yellow,2,3.19,0.7728
no_added_fines_yellow,3,3.19,0.0769
no_added_fines_yellow,0,3.25,1.2887
no_added_fines_yellow,1,3.25,1.1249
no_added_fines_yellow,2,3.25,0.9064
no_added_fines_yellow,3,3.25,0.1376
no_added_fines_yellow,0,3.3,1.3818
no_added_fines_yellow,1,3.3,1.0197
no_added_fines_yellow,2,3.3,0.2084
no_added_fines_yellow,0,3.36,1.2806
no_added_fines_yellow,1,3.36,0.3682
no_added_fines_yellow,2,3.36,0.2711
no_added_fines_yellow,3,3.36,0.2185
no_added_fines_yellow,4,3.36,0.172
no_added_fines_yellow,0,3.41,1.3676
no_added_fines_yellow,1,3.41,0.4451
no_added_fines_yellow,0,3.46,1.7075
no_added_fines_yellow,1,3.46,1.2806
no_added_fines_yellow,2,3.46,0.5786
no_added_fines_yellow,0,3.52,1.9058
no_added_fines_yellow,1,3.52,1.3454
no_added_fines_yellow,2,3.52,1.2199
no_added_fines_yellow,3,3.52,0.8133
no_added_fines_yellow,4,3.52,0.6798
no_added_fines_yellow,0,3.57,2.1182
no_added_fines_yellow,1,3.57,1.8289
no_added_fines_yellow,2,3.57,1.4263
no_added_fines_yellow,3,3.57,0.8254
no_added_fines_yellow,0,3.63,2.3043
no_added_fines_yellow,1,3.63,1.8977
no_added_fines_yellow,2,3.63,1.4769
no_added_fines_yellow,3,3.63,1.3939
no_added_fines_yellow,4,3.63,1.1451
no_added_fines_yellow,5,3.63,1.0318
no_added_fines_yellow,6,3.63,0.9832
no_added_fines_yellow,7,3.63,0.8861
no_added_fines_yellow,0,3.68,2.4338
no_added_fines_yellow,1,3.68,1.9988
no_added_fines_yellow,2,3.68,1.572
no_added_fines_yellow,3,3.68,1.2543
no_added_fines_yellow,4,3.68,1.0581
no_added_fines_yellow,5,3.68,0.0546
no_added_fines_yellow,0,3.74,2.5633
no_added_fines_yellow,1,3.74,2.1
no_added_fines_yellow,2,3.74,1.665
no_added_fines_yellow,3,3.74,1.485
no_added_fines_yellow,4,3.74,1.1734
no_added_fines_yellow,5,3.74,0.0546
no_added_fines_yellow,0,3.79,2.6361
no_added_fines_yellow,1,3.79,2.2396
no_added_fines_yellow,2,3.79,1.7945
no_added_fines_yellow,3,3.79,1.4829
no_added_fines_yellow,4,3.79,1.3231
no_added_fines_yellow,5,3.79,1.1896
no_added_fines_yellow,6,3.79,0.1194
no_added_fines_yellow,0,3.85,2.7069
no_added_fines_yellow,1,3.85,2.3751
no_added_fines_yellow,2,3.85,1.922
no_added_fines_yellow,3,3.85,1.7702
no_added_fines_yellow,4,3.85,1.7399
no_added_fines_yellow,5,3.85,1.7197
no_added_fines_yellow,6,3.85,1.404
no_added_fines_yellow,7,3.85,0.1902
no_added_fines_yellow,8,3.85,0.1194
no_added_fines_yellow,0,3.9,2.7858
no_added_fines_yellow,1,3.9,2.4965
no_added_fines_yellow,2,3.9,2.0575
no_added_fines_yellow,3,3.9,1.6832
no_added_fines_yellow,4,3.9,1.5133
no_added_fines_yellow,5,3.9,1.0905
no_added_fines_yellow,6,3.9,0.1861
no_added_fines_yellow,7,3.9,0.0142
no_added_fines_yellow,0,3.95,2.8627
no_added_fines_yellow,1,3.95,2.6118
no_added_fines_yellow,2,3.95,2.189
no_added_fines_yellow,3,3.95,2.0272
no_added_fines_yellow,4,3.95,1.9847
no_added_fines_yellow,5,3.95,1.9442
no_added_fines_yellow,6,3.95,1.6165
no_added_fines_yellow,7,3.95,1.0864
no_added_fines_yellow,8,3.95,0.2428
no_added_fines_yellow,9,3.95,0.0142
no_added_fines_yellow,0,4.01,2.9436
no_added_fines_yellow,1,4.01,2.709
no_added_fines_yellow,2,4.01,2.3286
no_added_fines_yellow,3,4.01,1.8977
no_added_fines_yellow,4,4.01,1.7298
no_added_fines_yellow,5,4.01,1.0763
no_added_fines_yellow,6,4.01,0.2509
no_added_fines_yellow,0,4.06,3.0246
no_added_fines_yellow,1,4.06,2.8081
no_added_fines_yellow,2,4.06,2.4662
no_added_fines_yellow,3,4.06,2.2315
no_added_fines_yellow,4,4.06,2.2012
no_added_fines_yellow,5,4.06,1.8107
no_added_fines_yellow,6,4.06,1.0723
no_added_fines_yellow,7,4.06,0.2569
no_added_fines_yellow,8,4.06,0.0607
no_added_fines_yellow,0,4.12,3.065
no_added_fines_yellow,1,4.12,2.8931
no_added_fines_yellow,2,4.12,2.5775
no_added_fines_yellow,3,4.12,1.922
no_added_fines_yellow,4,4.12,0.3136
no_added_fines_yellow,5,4.12,0.0627
no_added_fines_yellow,0,4.17,3.0853
no_added_fines_yellow,1,4.17,2.9821
no_added_fines_yellow,2,4.17,2.6867
no_added_fines_yellow,3,4.17,1.9827
no_added_fines_yellow,4,4.17,1.0176
no_added_fines_yellow,5,4.17,0.3136
no_added_fines_yellow,6,4.17,0.1275
no_added_fines_yellow,0,4.23,3.0569
no_added_fines_yellow,1,4.23,2.7777
no_added_fines_yellow,2,4.23,2.276
no_added_fines_yellow,3,4.23,2.2538
no_added_fines_yellow,4,4.23,2.2254
no_added_fines_yellow,5,4.23,2.185
no_added_fines_yellow,6,4.23,2.1546
no_added_fines_yellow,7,4.23,2.0595
no_added_fines_yellow,8,4.23,0.961
no_added_fines_yellow,9,4.23,0.3682
no_added_fines_yellow,10,4.23,0.1902
no_added_fines_yellow,11,4.23,0.1295
no_added_fines_yellow,0,4.28,3.0873
no_added_fines_yellow,1,4.28,2.8202
no_added_fines_yellow,2,4.28,2.185
no_added_fines_yellow,3,4.28,0.961
no_added_fines_yellow,4,4.28,0.3763
no_added_fines_yellow,5,4.28,0.1902
no_added_fines_yellow,0,4.34,3.1055
no_added_fines_yellow,1,4.34,3.0387
no_added_fines_yellow,2,4.34,2.8627
no_added_fines_yellow,3,4.34,2.3124
no_added_fines_yellow,4,4.34,0.961
no_added_fines_yellow,5,4.34,0.3844
no_added_fines_yellow,6,4.34,0.2347
no_added_fines_yellow,0,4.39,3.0812
no_added_fines_yellow,1,4.39,3.0246
no_added_fines_yellow,2,4.39,2.8627
no_added_fines_yellow,3,4.39,2.4905
no_added_fines_yellow,4,4.39,1.0075
no_added_fines_yellow,5,4.39,0.439
no_added_fines_yellow,6,4.39,0.2408
no_added_fines_yellow,0,4.44,3.0367
no_added_fines_yellow,1,4.44,2.8627
no_added_fines_yellow,2,4.44,2.6685
no_added_fines_yellow,3,4.44,1.0156
no_added_fines_yellow,4,4.44,0.4491
no_added_fines_yellow,5,4.44,0.4309
no_added_fines_yellow,6,4.44,0.2529
no_added_fines_yellow,0,4.5,3.0246
no_added_fines_yellow,1,4.5,2.7676
no_added_fines_yellow,2,4.5,0.4977
no_added_fines_yellow,3,4.5,0.2569
no_added_fines_yellow,0,4.55,3.0529
no_added_fines_yellow,1,4.55,2.8384
no_added_fines_yellow,2,4.55,0.5098
no_added_fines_yellow,3,4.55,0.3055
no_added_fines_yellow,0,4.61,3.1095
no_added_fines_yellow,1,4.61,3.0347
no_added_fines_yellow,2,4.61,2.8708
no_added_fines_yellow,3,4.61,2.8081
no_added_fines_yellow,4,4.61,0.5159
no_added_fines_yellow,5,4.61,0.3116
no_added_fines_yellow,0,4.66,3.1702
no_added_fines_yellow,1,4.66,3.0367
no_added_fines_yellow,2,4.66,2.885
no_added_fines_yellow,3,4.66,2.7757
no_added_fines_yellow,4,4.66,1.0682
no_added_fines_yellow,5,4.66,0.5725
no_added_fines_yellow,6,4.66,0.3642
no_added_fines_yellow,7,4.66,0.3197
no_added_fines_yellow,8,4.66,0.0202
no_added_fines_yellow,0,4.72,3.2087
no_added_fines_yellow,1,4.72,3.0145
no_added_fines_yellow,2,4.72,2.8931
no_added_fines_yellow,3,4.72,2.7636
no_added_fines_yellow,4,4.72,1.0682
no_added_fines_yellow,5,4.72,0.5725
no_added_fines_yellow,6,4.72,0.3763
no_added_fines_yellow,7,4.72,0.0202
no_added_fines_yellow,0,4.77,3.2552
no_added_fines_yellow,1,4.77,2.9882
no_added_fines_yellow,2,4.77,2.8991
no_added_fines_yellow,3,4.77,2.7737
no_added_fines_yellow,4,4.77,1.0662
no_added_fines_yellow,5,4.77,0.6373
no_added_fines_yellow,6,4.77,0.441
no_added_fines_yellow,7,4.77,0.3783
no_added_fines_yellow,0,4.83,3.2876
no_added_fines_yellow,1,4.83,2.9396
no_added_fines_yellow,2,4.83,2.7939
no_added_fines_yellow,3,4.83,1.0116
no_added_fines_yellow,4,4.83,0.6373
no_added_fines_yellow,5,4.83,0.5038
no_added_fines_yellow,6,4.83,0.4431
no_added_fines_yellow,0,4.88,3.3017
no_added_fines_yellow,1,4.88,2.9153
no_added_fines_yellow,2,4.88,2.8283
no_added_fines_yellow,3,4.88,1.0075
no_added_fines_yellow,4,4.88,0.702
no_added_fines_yellow,5,4.88,0.5078
no_added_fines_yellow,0,4.93,3.2775
no_added_fines_yellow,1,4.93,2.8971
no_added_fines_yellow,2,4.93,1.0075
no_added_fines_yellow,3,4.93,0.702
no_added_fines_yellow,4,4.93,0.5705
no_added_fines_yellow,0,4.99,3.235
no_added_fines_yellow,1,4.99,2.9416
no_added_fines_yellow,2,4.99,1.0136
no_added_fines_yellow,3,4.99,0.5725
no_added_fines_yellow,0,5.04,3.1925
no_added_fines_yellow,1,5.04,2.9841
no_added_fines_yellow,2,5.04,1.0217
no_added_fines_yellow,3,5.04,0.7607
no_added_fines_yellow,0,5.1,3.1803
no_added_fines_yellow,1,5.1,3.0064
