omega,T_degC,kappa_S_m-1,validation_flag
0,25,3.3e-05,SUSPECT_SOURCE_COEFFICIENTS
0,26,3.4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,27,3.4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,28,3.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,29,3.6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,30,3.7e-05,SUSPECT_SOURCE_COEFFICIENTS
0,31,3.7e-05,SUSPECT_SOURCE_COEFFICIENTS
0,32,3.8e-05,SUSPECT_SOURCE_COEFFICIENTS
0,33,3.9e-05,SUSPECT_SOURCE_COEFFICIENTS
0,34,3.9e-05,SUSPECT_SOURCE_COEFFICIENTS
0,35,4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,36,4.1e-05,SUSPECT_SOURCE_COEFFICIENTS
0,37,4.2e-05,SUSPECT_SOURCE_COEFFICIENTS
0,38,4.2e-05,SUSPECT_SOURCE_COEFFICIENTS
0,39,4.3e-05,SUSPECT_SOURCE_COEFFICIENTS
0,40,4.4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,41,4.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,42,4.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,43,4.6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,44,4.7e-05,SUSPECT_SOURCE_COEFFICIENTS
0,45,4.8e-05,SUSPECT_SOURCE_COEFFICIENTS
0,46,4.8e-05,SUSPECT_SOURCE_COEFFICIENTS
0,47,4.9e-05,SUSPECT_SOURCE_COEFFICIENTS
0,48,5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,49,5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,50,5.1e-05,SUSPECT_SOURCE_COEFFICIENTS
0,51,5.2e-05,SUSPECT_SOURCE_COEFFICIENTS
0,52,5.3e-05,SUSPECT_SOURCE_COEFFICIENTS
0,53,5.3e-05,SUSPECT_SOURCE_COEFFICIENTS
0,54,5.4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,55,5.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,56,5.6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,57,5.6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,58,5.7e-05,SUSPECT_SOURCE_COEFFICIENTS
0,59,5.8e-05,SUSPECT_SOURCE_COEFFICIENTS
0,60,5.9e-05,SUSPECT_SOURCE_COEFFICIENTS
0,61,5.9e-05,SUSPECT_SOURCE_COEFFICIENTS
0,62,6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,63,6.1e-05,SUSPECT_SOURCE_COEFFICIENTS
0,64,6.2e-05,SUSPECT_SOURCE_COEFFICIENTS
0,65,6.2e-05,SUSPECT_SOURCE_COEFFICIENTS
0,66,6.3e-05,SUSPECT_SOURCE_COEFFICIENTS
0,67,6.4e-05,SUSPECT_SOURCE_COEFFICIENTS
0,68,6.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,69,6.5e-05,SUSPECT_SOURCE_COEFFICIENTS
0,70,6.6e-05,SUSPECT_SOURCE_COEFFICIENTS
0,71,6.7e-05,SUSPECT_SOURCE_COEFFICIENTS
0,72,6.8e-05,SUSPECT_SOURCE_COEFFICIENTS
0.02,25,0.268,OK
0.02,26,0.273556,OK
0.02,27,0.279124,OK
0.02,28,0.284704,OK
0.02,29,0.290296,OK
0.02,30,0.2959,OK
0.02,31,0.301516,OK
0.02,32,0.307144,OK
0.02,33,0.312784,OK
0.02,34,0.318436,OK
0.02,35,0.3241,OK
0.02,36,0.329776,OK
0.02,37,0.335464,OK
0.02,38,0.341164,OK
0.02,39,0.346876,OK
0.02,40,0.3526,OK
0.02,41,0.358336,OK
0.02,42,0.364084,OK
0.02,43,0.369844,OK
0.02,44,0.375616,OK
0.02,45,0.3814,OK
