omega,T_degC,refractive_index_nD20,density_kg_m-3,thermal_conductivity_W_m-1_degC-1
0.0,20,1.333,997.68,0.59878
0.0,25,1.333,996.6,0.60647
0.0,40,1.333,992.16,0.62782
0.0,60,1.333,983.44,0.65222
0.0,80,1.333,971.52,0.67198
0.0,95,1.333,960.48,0.68376
0.01,20,1.33474,1001.511,0.59555
0.01,25,1.33474,1000.393,0.6032
0.01,40,1.33474,995.834,0.62443
0.01,60,1.33474,986.94,0.6487
0.01,80,1.33474,974.828,0.66835
0.01,95,1.33474,963.631,0.68006
0.02,20,1.33649,1005.371,0.59231
0.02,25,1.33649,1004.216,0.59993
0.02,40,1.33649,999.536,0.62104
0.02,60,1.33649,990.466,0.64518
0.02,80,1.33649,978.158,0.66472
0.02,95,1.33649,966.802,0.67637
0.03,20,1.33826,1009.261,0.58908
0.03,25,1.33826,1008.067,0.59665
0.03,40,1.33826,1003.266,0.61765
0.03,60,1.33826,994.016,0.64165
0.03,80,1.33826,981.511,0.66109
0.03,95,1.33826,969.995,0.67268
0.04,20,1.34005,1013.182,0.58585
0.04,25,1.34005,1011.949,0.59338
0.04,40,1.34005,1007.023,0.61426
0.04,60,1.34005,997.592,0.63813
0.04,80,1.34005,984.888,0.65747
0.04,95,1.34005,973.208,0.66899
0.05,20,1.34186,1017.133,0.58261
0.05,25,1.34186,1015.86,0.5901
0.05,40,1.34186,1010.809,0.61087
0.05,60,1.34186,1001.194,0.63461
0.05,80,1.34186,988.287,0.65384
0.05,95,1.34186,976.443,0.66529
0.06,20,1.34369,1021.115,0.57938
0.06,25,1.34369,1019.802,0.58683
0.06,40,1.34369,1014.623,0.60748
0.06,60,1.34369,1004.822,0.63109
0.06,80,1.34369,991.71,0.65021
0.06,95,1.34369,979.7,0.6616
0.07,20,1.34553,1025.128,0.57615
0.07,25,1.34553,1023.774,0.58355
0.07,40,1.34553,1018.466,0.60409
0.07,60,1.34553,1008.477,0.62757
0.07,80,1.34553,995.157,0.64658
0.07,95,1.34553,982.978,0.65791
0.08,20,1.3474,1029.173,0.57291
0.08,25,1.3474,1027.778,0.58028
0.08,40,1.3474,1022.338,0.6007
0.08,60,1.3474,1012.158,0.62404
0.08,80,1.3474,998.628,0.64295
0.08,95,1.3474,986.278,0.65422
0.09,20,1.34928,1033.25,0.56968
0.09,25,1.34928,1031.812,0.577
0.09,40,1.34928,1026.24,0.59731
0.09,60,1.34928,1015.866,0.62052
0.09,80,1.34928,1002.123,0.63932
0.09,95,1.34928,989.601,0.65052
