omega,T_degC,mu_Pa_s
0.5,25,0.063974
0.5,26,0.061507
0.5,27,0.05915
0.5,28,0.056899
0.5,29,0.054747
0.5,30,0.05269
0.5,31,0.050723
0.5,32,0.048842
0.5,33,0.047042
0.5,34,0.04532
0.5,35,0.043671
0.5,36,0.042092
0.5,37,0.04058
0.5,38,0.039132
0.5,39,0.037744
0.5,40,0.036413
0.5,41,0.035138
0.5,42,0.033915
0.5,43,0.032742
0.5,44,0.031616
0.5,45,0.030536
0.5,46,0.029499
0.5,47,0.028503
0.5,48,0.027547
0.5,49,0.026629
0.5,50,0.025747
0.5,51,0.024899
0.5,52,0.024084
0.5,53,0.0233
0.5,54,0.022547
0.5,55,0.021822
0.5,56,0.021125
0.5,57,0.020454
0.5,58,0.019808
0.5,59,0.019186
0.5,60,0.018588
0.5,61,0.018011
0.5,62,0.017456
0.5,63,0.016921
0.5,64,0.016405
0.5,65,0.015908
0.5,66,0.015429
0.5,67,0.014967
0.5,68,0.014521
0.5,69,0.014091
0.5,70,0.013676
0.5,71,0.013276
0.5,72,0.01289
0.5,73,0.012517
0.5,74,0.012157
0.5,75,0.011809
0.5,76,0.011473
0.5,77,0.011149
0.5,78,0.010835
0.5,79,0.010532
0.5,80,0.010239
0.5,81,0.009956
0.5,82,0.009682
0.5,83,0.009417
0.5,84,0.009161
0.5,85,0.008913
0.5,86,0.008674
0.5,87,0.008442
0.5,88,0.008217
0.5,89,0.008
0.5,90,0.007789
0.5,91,0.007585
0.5,92,0.007388
0.5,93,0.007196
0.5,94,0.007011
0.5,95,0.006831
0.6,25,0.715667
0.6,26,0.673026
0.6,27,0.633184
0.6,28,0.595943
0.6,29,0.561116
0.6,30,0.528536
0.6,31,0.498042
0.6,32,0.469491
0.6,33,0.442747
0.6,34,0.417686
0.6,35,0.394193
0.6,36,0.372161
0.6,37,0.35149
0.6,38,0.332089
0.6,39,0.313874
0.6,40,0.296764
0.6,41,0.280687
0.6,42,0.265575
0.6,43,0.251365
0.6,44,0.237997
0.6,45,0.225418
0.6,46,0.213577
0.6,47,0.202425
0.6,48,0.19192
0.6,49,0.18202
0.6,50,0.172688
0.6,51,0.163887
0.6,52,0.155585
0.6,53,0.147751
0.6,54,0.140355
0.6,55,0.133371
0.6,56,0.126774
0.6,57,0.120541
0.6,58,0.114649
0.6,59,0.109077
0.6,60,0.103808
0.6,61,0.098822
0.6,62,0.094104
0.6,63,0.089636
0.6,64,0.085406
0.6,65,0.081398
0.6,66,0.077601
0.6,67,0.074001
0.6,68,0.070588
0.6,69,0.067352
0.6,70,0.064281
0.6,71,0.061366
0.6,72,0.0586
0.6,73,0.055973
0.6,74,0.053478
0.6,75,0.051108
0.6,76,0.048855
0.6,77,0.046714
0.6,78,0.044678
0.6,79,0.042742
0.6,80,0.0409
0.6,81,0.039146
0.6,82,0.037478
0.6,83,0.035889
0.6,84,0.034376
0.6,85,0.032934
0.6,86,0.031561
0.6,87,0.030252
0.6,88,0.029004
0.6,89,0.027814
0.6,90,0.026679
0.6,91,0.025596
0.6,92,0.024563
0.6,93,0.023577
0.6,94,0.022635
0.6,95,0.021736
0.66,25,4.575486
0.66,26,4.237992
0.66,27,3.927397
0.66,28,3.641404
0.66,29,3.377928
0.66,30,3.135069
0.66,31,2.911099
0.66,32,2.704442
0.66,33,2.513665
0.66,34,2.337458
0.66,35,2.174629
0.66,36,2.024089
0.66,37,1.884841
0.66,38,1.755977
0.66,39,1.636666
0.66,40,1.526147
0.66,41,1.423725
0.66,42,1.328762
0.66,43,1.240675
0.66,44,1.158929
0.66,45,1.083032
0.66,46,1.012536
0.66,47,0.947027
0.66,48,0.886125
0.66,49,0.829481
0.66,50,0.776776
0.66,51,0.727715
0.66,52,0.682026
0.66,53,0.639459
0.66,54,0.599786
0.66,55,0.562794
0.66,56,0.528287
0.66,57,0.496086
0.66,58,0.466025
0.66,59,0.437951
0.66,60,0.411721
0.66,61,0.387205
0.66,62,0.364283
0.66,63,0.342842
0.66,64,0.322779
0.66,65,0.303999
0.66,66,0.286412
0.66,67,0.269937
0.66,68,0.254499
0.66,69,0.240026
0.66,70,0.226453
0.66,71,0.21372
