omega,T_degC,kappa_eq9_S_m-1,kappa_eq10_modified_casteel_amis_S_m-1
0.0,25,0.0503,0.0
0.0,30,0.0503,0.0
0.0,40,0.0503,0.0
0.0,50,0.0503,0.0
0.0,60,0.0503,0.0
0.0,70,0.0503,0.0
0.0,72,0.0503,0.0
0.01,25,0.16596,0.25512
0.01,30,0.177905,0.286372
0.01,40,0.201835,0.344046
0.01,50,0.225819,0.395546
0.01,60,0.249856,0.441189
0.01,70,0.273947,0.481288
0.01,72,0.278771,0.48867
0.02,25,0.275439,0.351399
0.02,30,0.298835,0.394778
0.02,40,0.345783,0.475079
0.02,50,0.39294,0.5471
0.02,60,0.440308,0.611237
0.02,70,0.487886,0.66788
0.02,72,0.497427,0.678344
0.03,25,0.378894,0.429864
0.03,30,0.413252,0.483336
0.03,40,0.482314,0.582625
0.03,50,0.551839,0.672064
0.03,60,0.62183,0.752086
0.03,70,0.69229,0.823125
0.03,72,0.706438,0.836293
0.04,25,0.476478,0.500328
0.04,30,0.521317,0.56304
0.04,40,0.611599,0.679839
0.04,50,0.702691,0.785504
0.04,60,0.794599,0.880481
0.04,70,0.887328,0.965222
0.04,72,0.905973,0.980982
0.05,25,0.568343,0.566174
0.05,30,0.623189,0.637676
0.05,40,0.733807,0.771248
0.05,50,0.845669,0.8926
0.05,60,0.958787,1.002174
0.05,70,1.07317,1.100423
0.05,72,1.0962,1.118754
0.06,25,0.654641,0.628915
0.06,30,0.719027,0.708939
0.06,40,0.849107,0.858874
0.06,50,0.980948,0.995665
0.06,60,1.114569,1.119732
0.06,70,1.249987,1.231515
0.06,72,1.277288,1.252437
0.07,25,0.735522,0.689303
0.07,30,0.808987,0.777666
0.07,40,0.957666,0.943714
0.07,50,1.108699,1.095834
0.07,60,1.262117,1.234413
0.07,70,1.417946,1.359862
0.07,72,1.449404,1.383414
0.08,25,0.811133,0.747711
0.08,30,0.893225,0.844272
0.08,40,1.059649,1.026259
0.08,50,1.229094,1.193663
0.08,60,1.401603,1.346828
0.08,70,1.577218,1.486126
0.08,72,1.612718,1.512357
0.09,25,0.881622,0.804304
0.09,30,0.971895,0.908939
0.09,40,1.155221,1.106717
0.09,50,1.342303,1.289383
0.09,60,1.5332,1.457226
0.09,70,1.727971,1.61057
0.09,72,1.767396,1.63953
0.1,25,0.947134,0.859123
0.1,30,1.045149,0.971709
0.1,40,1.244546,1.185127
0.1,50,1.448495,1.383028
0.1,60,1.657078,1.565635
0.1,70,1.870373,1.733214
0.1,72,1.913605,1.764953
0.11,25,1.007812,0.912131
0.11,30,1.11314,1.032534
0.11,40,1.327786,1.26142
0.11,50,1.54784,1.474506
0.11,60,1.773406,1.67194
0.11,70,2.004591,1.853923
0.11,72,2.051512,1.888485
0.12,25,1.063801,0.96324
0.12,30,1.176016,1.091308
0.12,40,1.405101,1.335457
0.12,50,1.640503,1.563641
0.12,60,1.882355,1.775931
0.12,70,2.130793,1.97245
0.12,72,2.181284,2.009876
0.13,25,1.11524,1.012327
0.13,30,1.233927,1.147888
0.13,40,1.476653,1.407049
0.13,50,1.726652,1.650202
0.13,60,1.984093,1.87733
0.13,70,2.249146,2.088477
0.13,72,2.303086,2.128796
0.14,25,1.16227,1.05925
0.14,30,1.28702,1.202108
0.14,40,1.542599,1.475978
0.14,50,1.806453,1.733917
0.14,60,2.078789,1.975817
0.14,70,2.359817,2.201632
0.14,72,2.417085,2.244866
0.15,25,1.205028,1.103854
0.15,30,1.33544,1.253784
0.15,40,1.603097,1.542007
0.15,50,1.880069,1.814494
0.15,60,2.166609,2.07104
0.15,70,2.462971,2.311509
0.15,72,2.523446,2.357666
0.16,25,1.243652,1.145981
0.16,30,1.379332,1.30273
0.16,40,1.658302,1.604889
0.16,50,1.947665,1.891624
0.16,60,2.24772,2.16263
0.16,70,2.558775,2.417678
0.16,72,2.622333,2.466757
0.17,25,1.278277,1.185469
0.17,30,1.418839,1.348755
0.17,40,1.708371,1.664374
0.17,50,2.009403,1.964994
0.17,60,2.322289,2.250212
0.17,70,2.647393,2.519699
0.17,72,2.713912,2.571685
0.18,25,1.309036,1.222163
0.18,30,1.454101,1.391676
0.18,40,1.753455,1.720215
0.18,50,2.065443,2.034294
0.18,60,2.390479,2.333408
0.18,70,2.72899,2.617128
0.18,72,2.798347,2.671993
0.19,25,1.336062,1.255915
0.19,30,1.485261,1.431315
0.19,40,1.793709,1.772176
0.19,50,2.115948,2.099223
0.19,60,2.452457,2.411848
0.19,70,2.803731,2.709527
0.19,72,2.875802,2.767228
0.2,25,1.359485,1.286587
0.2,30,1.512455,1.467508
0.2,40,1.829282,1.820032
0.2,50,2.161075,2.15949
0.2,60,2.508384,2.485178
0.2,70,2.87178,2.796469
0.2,72,2.946441,2.85695
0.21,25,1.379435,1.314057
0.21,30,1.53582,1.500104
0.21,40,1.860325,1.863575
0.21,50,2.200984,2.214827
0.21,60,2.558425,2.553057
0.21,70,2.9333,2.877545
0.21,72,3.010425,2.940736
0.22,25,1.39604,1.338214
0.22,30,1.555494,1.52897
0.22,40,1.886986,1.902618
0.22,50,2.235831,2.264983
0.22,60,2.602742,2.615173
0.22,70,2.988454,2.952372
0.22,72,3.06792,3.018187
0.23,25,1.409426,1.358969
0.23,30,1.571609,1.553992
0.23,40,1.909412,1.936995
0.23,50,2.265774,2.309737
0.23,60,2.641494,2.671238
0.23,70,3.037405,3.020594
0.23,72,3.119086,3.088934
0.24,25,1.419717,1.376248
0.24,30,1.584299,1.575078
0.24,40,1.927749,1.966567
0.24,50,2.290966,2.348894
0.24,60,2.674844,2.720997
0.24,70,3.080316,3.081889
0.24,72,3.164085,3.152639
0.25,25,1.427037,1.389999
0.25,30,1.593694,1.592157
0.25,40,1.942141,1.991221
0.25,50,2.311562,2.382291
0.25,60,2.702951,2.76423
0.25,70,3.117347,3.135971
0.25,72,3.203081,3.209006
0.26,25,1.431508,1.400189
0.26,30,1.599925,1.605181
0.26,40,1.952731,2.010874
0.26,50,2.327714,2.409798
0.26,60,2.725974,2.800752
0.26,70,3.14866,3.182597
0.26,72,3.236232,3.257777
0.27,25,1.433248,1.406808
0.27,30,1.603119,1.614129
0.27,40,1.959662,2.025471
0.27,50,2.339575,2.431322
0.27,60,2.74407,2.830422
0.27,70,3.174415,3.221567
0.27,72,3.263702,3.29874
0.28,25,1.432378,1.409866
0.28,30,1.603403,1.619001
0.28,40,1.963073,2.034988
0.28,50,2.347295,2.446803
0.28,60,2.757398,2.853135
0.28,70,3.194773,3.252726
0.28,72,3.285648,3.331728
0.29,25,1.429013,1.409394
0.29,30,1.600902,1.619824
0.29,40,1.963104,2.039434
0.29,50,2.351024,2.45622
0.29,60,2.766113,2.868833
0.29,70,3.209894,3.275967
0.29,72,3.302233,3.356624
0.3,25,1.423269,1.405446
0.3,30,1.59574,1.616648
0.3,40,1.959891,2.038845
0.3,50,2.35091,2.459589
0.3,60,2.770371,2.8775
0.3,70,3.219937,3.291232
0.3,72,3.313614,3.373362
0.31,25,1.41526,1.398094
0.31,30,1.588038,1.609548
0.31,40,1.953572,2.033292
0.31,50,2.347099,2.456963
0.31,60,2.770327,2.879161
0.31,70,3.225059,3.298514
0.31,72,3.319952,3.381925
0.32,25,1.405098,1.387433
0.32,30,1.577918,1.598622
0.32,40,1.94428,2.022872
