omega,T_nominal_degC,T_digitized_degC,mu_digitized_Pa_s,mu_eq4_Pa_s,ratio_digitized_over_eq4,evidence_strength,notes
0.5,25,25.02,0.073057,0.063974,1.142,DIGITIZED_HIGH,
0.5,30,30.03,0.056201,0.05269,1.067,DIGITIZED_HIGH,
0.5,40,40.07,0.041221,0.036413,1.132,DIGITIZED_HIGH,
0.5,50,49.95,0.024217,0.025747,0.941,DIGITIZED_HIGH,
0.5,60,60.08,0.019659,0.018588,1.058,DIGITIZED_HIGH,
0.5,70,70.07,0.012633,0.013676,0.924,DIGITIZED_HIGH,
0.5,80,80.1,0.00942,0.010239,0.92,DIGITIZED_HIGH,
0.5,90,89.94,0.007764,0.007789,0.997,DIGITIZED_HIGH,
0.5,95,94.94,0.007035,0.006831,1.03,DIGITIZED_HIGH,
0.6,25,25.01,0.643356,0.715667,0.899,DIGITIZED_HIGH,
0.6,30,30.05,0.450338,0.528536,0.852,DIGITIZED_HIGH,
0.6,40,40.11,0.243872,0.296764,0.822,DIGITIZED_HIGH,
0.6,50,49.97,0.135615,0.172688,0.785,DIGITIZED_MEDIUM,
0.6,60,60.02,0.083262,0.103808,0.802,DIGITIZED_HIGH,
0.6,70,70.07,0.056326,0.064281,0.876,DIGITIZED_HIGH,
0.6,80,80.07,0.039295,0.0409,0.961,DIGITIZED_HIGH,
0.6,90,89.92,0.029192,0.026679,1.094,DIGITIZED_HIGH,
0.6,95,94.94,0.025365,0.021736,1.167,DIGITIZED_HIGH,
0.66,25,25.03,3.984039,4.575486,0.871,DIGITIZED_HIGH,
0.66,30,30.06,2.69705,3.135069,0.86,DIGITIZED_HIGH,
0.66,40,40.09,1.360164,1.526147,0.891,DIGITIZED_HIGH,
0.66,50,49.92,0.784124,0.776776,1.009,DIGITIZED_HIGH,
0.66,60,59.94,0.484976,0.411721,1.178,DIGITIZED_HIGH,
0.66,70,70.01,0.270515,0.226453,1.195,DIGITIZED_HIGH,
0.66,80,80.1,0.105208,0.128842,0.817,DIGITIZED_HIGH,
0.66,90,89.97,0.066289,0.075618,0.877,DIGITIZED_HIGH,
0.66,95,94.97,0.054535,0.058563,0.931,DIGITIZED_HIGH,
0.7,25,25.13,16.199661,18.669376,0.868,DIGITIZED_HIGH,
0.7,30,30.07,11.048774,12.120349,0.912,DIGITIZED_HIGH,
0.7,40,40.04,5.238146,5.324262,0.984,DIGITIZED_HIGH,
0.7,50,49.92,2.483689,2.461016,1.009,DIGITIZED_HIGH,
0.7,60,60.05,1.004375,1.191487,0.843,DIGITIZED_HIGH,
0.7,70,69.97,0.632604,0.601762,1.051,DIGITIZED_HIGH,
0.7,80,80.1,0.223849,0.315909,0.709,DIGITIZED_MEDIUM,
0.7,90,89.94,0.166749,0.171835,0.97,DIGITIZED_HIGH,
0.7,95,94.95,0.128572,0.128314,1.002,DIGITIZED_HIGH,
0.74,40,40.12,18.816616,21.074341,0.893,DIGITIZED_HIGH,
0.74,50,50.01,8.202043,8.796366,0.932,DIGITIZED_HIGH,
0.74,60,60.0,4.392776,3.869297,1.135,DIGITIZED_HIGH,
0.74,70,70.03,2.018347,1.785455,1.13,DIGITIZED_HIGH,
0.74,80,80.07,0.673917,0.860772,0.783,DIGITIZED_MEDIUM,
0.74,90,89.95,0.471448,0.431994,1.091,DIGITIZED_HIGH,
0.74,95,94.96,0.320231,0.310365,1.032,DIGITIZED_HIGH,
0.8,60,59.98,32.520799,28.106212,1.157,DIGITIZED_HIGH,
0.8,70,70.07,14.587524,11.220335,1.3,DIGITIZED_MEDIUM,
0.8,80,80.09,6.35121,4.718396,1.346,DIGITIZED_MEDIUM,
0.8,90,89.95,1.940163,2.081145,0.932,DIGITIZED_HIGH,
0.8,95,94.99,1.067058,1.405395,0.759,DIGITIZED_MEDIUM,
