omega,T_nominal_degC,T_digitized_degC,mu_digitized_Pa_s,mu_eq5_Pa_s,ratio_digitized_over_eq5,evidence_strength,notes
0,0,0.07,0.001727,0.001644,1.05,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0,20,20.12,0.00102,0.001052,0.97,DIGITIZED_HIGH,
0,40,40.03,0.000669,0.000712,0.939,DIGITIZED_HIGH,
0,60,60.07,0.000474,0.000505,0.938,DIGITIZED_HIGH,
0,80,79.93,0.000366,0.000373,0.981,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0.1,0,0.08,0.003523,0.003455,1.02,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0.1,20,20.13,0.001977,0.001981,0.998,DIGITIZED_HIGH,
0.1,40,40.02,0.001226,0.001219,1.006,DIGITIZED_HIGH,
0.1,60,60.05,0.000869,0.000796,1.093,DIGITIZED_HIGH,
0.2,20,20.12,0.004146,0.004388,0.945,DIGITIZED_HIGH,
0.2,40,40.0,0.002442,0.002455,0.995,DIGITIZED_HIGH,
0.2,60,60.05,0.001637,0.001473,1.112,DIGITIZED_HIGH,
0.3,0,0.12,0.024323,0.024824,0.98,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0.3,20,20.15,0.010571,0.011434,0.924,DIGITIZED_HIGH,
0.3,40,40.02,0.005378,0.005815,0.925,DIGITIZED_HIGH,
0.3,60,60.0,0.003278,0.003207,1.022,DIGITIZED_HIGH,
0.4,0,0.1,0.077078,0.084899,0.908,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0.4,20,20.13,0.028706,0.035052,0.819,DIGITIZED_HIGH,
0.4,40,40.05,0.014632,0.016203,0.903,DIGITIZED_HIGH,
0.4,60,60.11,0.008079,0.008217,0.983,DIGITIZED_HIGH,
0.5,0,0.12,0.374051,0.341553,1.095,DIGITIZED_MEDIUM,marker sits on plot frame; partially clipped
0.5,20,20.13,0.125607,0.126396,0.994,DIGITIZED_HIGH,
0.5,40,40.02,0.049315,0.053108,0.929,DIGITIZED_HIGH,
0.5,60,60.14,0.023919,0.024762,0.966,DIGITIZED_HIGH,
