i,omega_kg_dry_coffee_per_kg_solution,p0i_S_m-1,p1i_S_m-1_degC-1,p2i_S_m-1_degC-2,kappa_at_50C_computed_S_m-1,validation_flag,notes
1,0,1.48E-5,7.20E-7,1.70E-10,5.1e-05,SUSPECT_SOURCE_TYPO,"Eq.(11) with these coefficients yields kappa~0 S/m, but Fig.6 shows kappa~0.05 (w=0) and ~0.06-0.08 (w=0.8) S/m; Table 2 gives kappa_w=0.0503 S/m. Consistent with a 3-decade exponent shift in the printed row. Transcribed verbatim, NOT corrected."
2,0.02,1.33E-1,5.25E-3,6.00E-6,0.4105,OK,
3,0.05,3.07E-1,1.28E-2,1.40E-5,0.982,OK,
4,0.1,4.22E-1,1.90E-2,1.90E-5,1.4195,OK,
5,0.2,5.88E-1,2.87E-2,4.70E-5,2.1405,OK,
6,0.3,5.47E-1,3.13E-2,7.80E-5,2.307,OK,
7,0.4,4.81E-1,2.96E-2,1.21E-4,2.2635,OK,
8,0.5,2.73E-1,1.92E-2,1.49E-4,1.6055,OK,
9,0.6,9.02E-2,9.71E-3,1.47E-4,0.9432,OK,
10,0.7,1.79E-2,1.20E-3,9.20E-5,0.3079,OK,
11,0.8,-4.10E-5,9.39E-7,1.18E-8,3.5e-05,SUSPECT_SOURCE_TYPO,"Eq.(11) with these coefficients yields kappa~0 S/m, but Fig.6 shows kappa~0.05 (w=0) and ~0.06-0.08 (w=0.8) S/m; Table 2 gives kappa_w=0.0503 S/m. Consistent with a 3-decade exponent shift in the printed row. Transcribed verbatim, NOT corrected."
