metric,key,value
total_shots,,0
pct_with_tds,,0.0
pct_with_ey,,0.0
pct_with_sensory,,0.0
duration_hist_s,"[0,15)",0
duration_hist_s,"[15,20)",0
duration_hist_s,"[20,25)",0
duration_hist_s,"[25,30)",0
duration_hist_s,"[30,35)",0
duration_hist_s,"[35,40)",0
duration_hist_s,"[40,60)",0
duration_hist_s,"[60,1000000000.0)",0
peak_pressure_hist_bar,"[0,2)",0
peak_pressure_hist_bar,"[2,4)",0
peak_pressure_hist_bar,"[4,6)",0
peak_pressure_hist_bar,"[6,8)",0
peak_pressure_hist_bar,"[8,9)",0
peak_pressure_hist_bar,"[9,10)",0
peak_pressure_hist_bar,"[10,12)",0
peak_pressure_hist_bar,"[12,1000000000.0)",0
peak_flow_hist_g_per_s,"[0,1)",0
peak_flow_hist_g_per_s,"[1,2)",0
peak_flow_hist_g_per_s,"[2,3)",0
peak_flow_hist_g_per_s,"[3,4)",0
peak_flow_hist_g_per_s,"[4,5)",0
peak_flow_hist_g_per_s,"[5,6)",0
peak_flow_hist_g_per_s,"[6,8)",0
peak_flow_hist_g_per_s,"[8,1000000000.0)",0
unit_audit,missing_timeframe,0
unit_audit,flow_unit_ambiguous,0
unit_audit,length_mismatch,0
unit_audit,missing_machine,0
