json_path,changed_records,classification
schema_version,23169,schema_version_change
content_sha256,23169,content_hash_consequence
context.integration_family,23169,integration_enrichment
context.integration_recovery_rule_id,23169,integration_enrichment
context.integration_source,1004,integration_enrichment
context.integration_source_provenance,23169,integration_enrichment
context.integration_source_value,23169,integration_enrichment
context.machine_family,23169,integration_enrichment
context.machine_family_provenance,23169,integration_enrichment
flags,1004,integration_enrichment
context.profile_present,23168,privacy_stripped_source_text
context.n_tags,82,privacy_stripped_source_text
hydraulic,0,unchanged
outcomes,0,unchanged
units,0,unchanged
qc,0,unchanged
id_or_updated_at,0,unchanged
hashed_user,0,unchanged
