coffee,G,R_mean_m,R2_mean_m2,R3_mean_m3,S_polydispersivity,phi_T_total,phi_p_connected,C_connectivity,s_total_per_m,s_p_connected_per_m,k_m2,k_err_m2
Guayacan,1,0.000211,7.04e-08,3.26e-11,0.4565,0.5014,0.4792,0.9558,40384.06,33588.43,2.39e-11,2.6e-12
Guayacan,2,0.000259,9.36e-08,3.92e-11,0.6178,,,,,,,
Guayacan,3,0.000328,1.43e-07,7.15e-11,0.654,0.5379,0.4979,0.9256,36412.35,24439.88,7.38e-11,7.99e-12
Guayacan,4,0.000382,1.86e-07,1.02e-10,0.6959,0.5057,0.4643,0.9181,29883.78,17105.0,1.55e-10,9.36e-11
Guayacan,5,0.000442,2.43e-07,1.5e-10,0.7161,0.4813,0.3707,0.7702,48969.36,21916.45,5.84e-11,2.1e-11
Guayacan,6,0.000493,2.97e-07,1.98e-10,0.7364,0.693,0.6733,0.9716,32759.1,28288.25,1.25e-10,1.41e-11
Guayacan,7,0.000543,3.52e-07,2.53e-10,0.7549,0.575,0.5312,0.9238,41152.9,29619.7,4.87e-11,1.6e-12
Guayacan,8,0.000608,4.43e-07,3.58e-10,0.7535,0.5724,0.538,0.9398,43597.65,33231.1,4.63e-11,1.01e-12
Guayacan,9,0.000653,5.04e-07,4.3e-10,0.7653,0.5628,0.5166,0.9179,46057.74,32187.77,4.94e-11,3.43e-12
Guayacan,10,0.000731,6.4e-07,6.26e-10,0.7482,0.5776,0.5558,0.9622,42792.86,36498.73,3.91e-11,4.22e-12
Guayacan,11,0.000818,7.88e-07,8.4e-10,0.767,0.543,0.5147,0.9478,55946.72,46688.25,1.58e-11,1.05e-13
Tumba,1,0.000192,5.63e-08,1.98e-11,0.5459,0.5193,0.4558,0.8776,38495.04,22265.34,6.01e-11,9.05e-12
Tumba,2,0.000241,8.23e-08,3.29e-11,0.6022,0.5384,0.4945,0.9184,41897.69,28789.66,5.78e-11,3.69e-12
Tumba,3,0.000302,1.23e-07,5.75e-11,0.6475,0.5394,0.4908,0.9099,35936.89,22528.85,9.93e-11,5.46e-12
Tumba,4,0.000357,1.67e-07,8.93e-11,0.6691,0.5757,0.5186,0.9007,38344.69,23026.25,1.04e-10,2.09e-11
Tumba,5,0.000427,2.29e-07,1.4e-10,0.6989,0.5677,0.4903,0.8638,36234.3,18580.9,1.51e-10,1.27e-11
Tumba,6,0.000478,2.79e-07,1.81e-10,0.7402,0.5484,0.5021,0.9156,32069.87,19616.52,1.91e-10,7.96e-11
Tumba,7,0.000532,3.43e-07,2.45e-10,0.7447,0.5823,0.5507,0.9459,31775.81,23500.01,9.06e-11,1.44e-12
Tumba,8,0.000581,4.08e-07,3.17e-10,0.7474,0.542,0.5169,0.9537,38389.28,31510.84,3.49e-11,1.04e-12
Tumba,9,0.000648,4.96e-07,4.16e-10,0.7725,0.5574,0.5126,0.9197,47534.83,35301.57,3.4e-11,3.44e-12
Tumba,10,0.000707,5.87e-07,5.35e-10,0.7748,0.5459,0.5113,0.9365,47995.53,38074.56,2.54e-11,1.55e-12
Tumba,11,0.000765,6.85e-07,6.72e-10,0.7797,0.5834,0.5625,0.9642,45841.77,39815.76,3.09e-11,2.09e-12
