coffee,G,R_m,phi_p,s_p,k_m2,err_m2
G,1,0.000211,0.4792,33588.43,2.39e-11,2.6e-12
G,3,0.000328,0.4979,24439.88,7.38e-11,7.99e-12
G,4,0.000382,0.4643,17105.0,1.55e-10,9.36e-11
G,5,0.000442,0.3707,21916.45,5.84e-11,2.1e-11
G,6,0.000493,0.6733,28288.25,1.25e-10,1.41e-11
G,7,0.000543,0.5312,29619.7,4.87e-11,1.6e-12
G,8,0.000608,0.538,33231.1,4.63e-11,1.01e-12
G,9,0.000653,0.5166,32187.77,4.94e-11,3.43e-12
G,10,0.000731,0.5558,36498.73,3.91e-11,4.22e-12
G,11,0.000818,0.5147,46688.25,1.58e-11,1.05e-13
T,1,0.000192,0.4558,22265.34,6.01e-11,9.05e-12
T,2,0.000241,0.4945,28789.66,5.78e-11,3.69e-12
T,3,0.000302,0.4908,22528.85,9.93e-11,5.46e-12
T,4,0.000357,0.5186,23026.25,1.04e-10,2.09e-11
T,5,0.000427,0.4903,18580.9,1.51e-10,1.27e-11
T,6,0.000478,0.5021,19616.52,1.91e-10,7.96e-11
T,7,0.000532,0.5507,23500.01,9.06e-11,1.44e-12
T,8,0.000581,0.5169,31510.84,3.49e-11,1.04e-12
T,9,0.000648,0.5126,35301.57,3.4e-11,3.44e-12
T,10,0.000707,0.5113,38074.56,2.54e-11,1.55e-12
T,11,0.000765,0.5625,39815.76,3.09e-11,2.09e-12
