p1_mean__bar,p1_std__bar,p2_mean__bar,p2_std__bar,delta_p_mean__bar,delta_p_std__bar,flow_rate_mean__g_per_s,flow_rate_std__g_per_s,measurement_series
8.0380,0.0108,8.3288,0.0165,0.2908,0.0176,0.2561,0.4091,low-flow-rate-2-800_interval_stats.csv
7.9887,0.0147,8.3092,0.0159,0.3206,0.0159,0.3955,0.4601,low-flow-rate-2-800_interval_stats.csv
7.9285,0.0057,8.2826,0.0128,0.3541,0.0132,0.7338,0.2413,low-flow-rate-2-800_interval_stats.csv
7.8462,0.0082,8.2363,0.0139,0.3901,0.0146,1.2641,0.1650,low-flow-rate-2-800_interval_stats.csv
7.6328,0.0302,8.2560,0.0341,0.6232,0.0161,3.4372,0.1894,low-flow-rate-2-800_interval_stats.csv
7.3108,0.0055,8.1568,0.0125,0.8460,0.0127,4.7551,0.4137,low-flow-rate-2-800_interval_stats.csv
6.7074,0.0210,8.0647,0.0124,1.3574,0.0255,6.8909,0.3868,low-flow-rate-2-800_interval_stats.csv
5.7653,0.0051,7.9432,0.0119,2.1778,0.0129,9.4250,0.5731,low-flow-rate-2-800_interval_stats.csv
4.7894,0.0068,5.0478,0.0125,0.2583,0.0109,0.2073,0.3837,low-flow-rate-500_interval_stats.csv
4.6284,0.0076,4.9458,0.0089,0.3174,0.0105,0.5483,0.1791,low-flow-rate-500_interval_stats.csv
4.3934,0.0071,4.8334,0.0134,0.4399,0.0103,2.0731,0.2649,low-flow-rate-500_interval_stats.csv
4.2410,0.0048,4.9416,0.0103,0.7006,0.0087,4.1117,0.2597,low-flow-rate-500_interval_stats.csv
3.8902,0.0110,4.8341,0.0134,0.9438,0.0090,5.3695,0.6641,low-flow-rate-500_interval_stats.csv
8.0140,0.0357,8.3573,0.0273,0.3433,0.0224,0.6368,0.2852,low-flow-rate_interval_stats.csv
8.0142,0.0142,8.3282,0.0220,0.3140,0.0233,0.4113,0.4015,low-flow-rate_interval_stats.csv
7.9124,0.0102,8.2930,0.0138,0.3806,0.0152,1.1841,0.2308,low-flow-rate_interval_stats.csv
7.9281,0.0138,8.2754,0.0150,0.3473,0.0207,0.7541,0.2724,low-flow-rate_interval_stats.csv
7.8494,0.0080,8.2379,0.0150,0.3885,0.0126,1.3328,0.1765,low-flow-rate_interval_stats.csv
7.7639,0.0043,8.2222,0.0127,0.4583,0.0116,2.1208,0.1334,low-flow-rate_interval_stats.csv
7.4125,0.0140,8.1282,0.0124,0.7157,0.0175,4.1146,0.2102,low-flow-rate_interval_stats.csv
7.2491,0.0086,8.1036,0.0146,0.8545,0.0142,4.8635,0.2077,low-flow-rate_interval_stats.csv
6.9234,0.0311,8.0869,0.0109,1.1635,0.0326,6.2257,0.2936,low-flow-rate_interval_stats.csv
6.7327,0.0334,8.0735,0.0125,1.3408,0.0297,6.8755,0.6181,low-flow-rate_interval_stats.csv
5.3132,0.0729,5.6930,0.0224,0.3798,0.0596,1.3641,0.6500,przekroj-test-zawor_interval_stats.csv
5.3889,0.0455,5.6888,0.0268,0.2999,0.0336,0.4208,0.3360,przekroj-test-zawor_interval_stats.csv
5.2648,0.0348,5.6276,0.0254,0.3628,0.0354,1.2050,0.2668,przekroj-test-zawor_interval_stats.csv
5.0985,0.0340,5.5832,0.0187,0.4848,0.0379,2.5025,0.1919,przekroj-test-zawor_interval_stats.csv
5.3770,0.0437,5.6669,0.0305,0.2899,0.0398,0.4181,0.3320,przekroj-test-zawor_interval_stats.csv
6.0578,0.0328,6.3093,0.0236,0.2515,0.0343,0.2333,0.3978,przekroj-test-zawor_interval_stats.csv
6.4780,0.0320,6.7366,0.0206,0.2587,0.0348,0.2214,0.3417,przekroj-test-zawor_interval_stats.csv
6.9746,0.0464,7.2346,0.0259,0.2600,0.0443,0.3118,0.4061,przekroj-test-zawor_interval_stats.csv
7.2706,0.0365,7.5388,0.0360,0.2682,0.0475,0.3159,0.4117,przekroj-test-zawor_interval_stats.csv
7.6162,0.0431,7.8764,0.0318,0.2602,0.0419,0.2859,0.3405,przekroj-test-zawor_interval_stats.csv
7.9704,0.0321,8.2572,0.0127,0.2868,0.0307,0.2401,0.4262,przekroj-test-zawor_interval_stats.csv
8.3398,0.0315,8.6437,0.0163,0.3039,0.0354,0.2622,0.4850,przekroj-test-zawor_interval_stats.csv
8.5676,0.0340,8.8756,0.0163,0.3080,0.0370,0.3198,0.3662,przekroj-test-zawor_interval_stats.csv
8.8557,0.0332,9.1476,0.0181,0.2920,0.0375,0.3358,0.4074,przekroj-test-zawor_interval_stats.csv
