reference_pressure_round__bar,shot_id,window,n_samples,basket_pressure__bar,mass_flow_rate__g_per_s
1.00000,1-1,endpoint_100s,2,0.67330,0.07669
1.00000,1-1,mean_90_100s,107,0.68281,0.09345
1.00000,1-1,mean_110_120s,107,0.66893,0.09090
1.00000,1-2,endpoint_100s,2,1.12242,0.11728
1.00000,1-2,mean_90_100s,107,1.12124,0.12154
1.00000,1-2,mean_110_120s,107,0.66617,0.12434
1.00000,1-3,endpoint_100s,2,0.68544,0.11990
1.00000,1-3,mean_90_100s,107,0.67004,0.10927
1.00000,1-3,mean_110_120s,107,0.66746,0.11460
1.00000,1-4,endpoint_100s,2,0.66574,0.11554
1.00000,1-4,mean_90_100s,107,0.66750,0.11245
1.00000,1-4,mean_110_120s,107,0.65251,0.12506
1.00000,1-5b,endpoint_100s,2,0.66082,0.12603
1.00000,1-5b,mean_90_100s,107,0.66932,0.10904
1.00000,1-5b,mean_110_120s,107,0.66616,0.11580
11.00000,10-2,endpoint_100s,2,10.40309,1.79613
11.00000,10-2,mean_90_100s,107,10.38619,1.85008
11.00000,10-2,mean_110_120s,107,9.71779,1.72435
11.00000,10-3,endpoint_100s,2,10.44595,1.71774
11.00000,10-3,mean_90_100s,107,10.42800,1.81467
11.00000,10-3,mean_110_120s,62,10.40479,1.80936
11.00000,10-4,endpoint_100s,2,10.36268,1.76842
11.00000,10-4,mean_90_100s,107,10.45234,1.78804
11.00000,10-4,mean_110_120s,107,10.43135,1.81182
11.00000,10-5,endpoint_100s,3,10.43952,1.79563
11.00000,10-5,mean_90_100s,108,10.41344,1.80429
11.00000,10-5,mean_110_120s,107,10.41767,1.81562
13.00000,12-8-2,endpoint_100s,2,12.36003,1.55970
13.00000,12-8-2,mean_90_100s,107,12.35390,1.54631
13.00000,12-8-2,mean_110_120s,107,12.32953,1.56479
13.00000,12-8-3,endpoint_100s,2,12.33367,1.64669
13.00000,12-8-3,mean_90_100s,107,12.33521,1.66461
13.00000,12-8-3,mean_110_120s,70,12.31764,1.63304
13.00000,12-8-4,endpoint_100s,3,12.48913,1.56689
13.00000,12-8-4,mean_90_100s,107,12.49401,1.55374
13.00000,12-8-4,mean_110_120s,97,11.30632,1.42421
13.00000,12-8-5,endpoint_100s,2,12.51544,1.61952
13.00000,12-8-5,mean_90_100s,108,12.44923,1.65570
13.00000,12-8-5,mean_110_120s,65,12.44157,1.64361
13.00000,12-8-6,endpoint_100s,2,12.39237,1.63244
13.00000,12-8-6,mean_90_100s,107,12.42753,1.61593
13.00000,12-8-6,mean_110_120s,107,12.42511,1.63317
13.00000,12-8-6_alt,endpoint_100s,2,12.39237,1.63244
13.00000,12-8-6_alt,mean_90_100s,107,12.42753,1.61593
13.00000,12-8-6_alt,mean_110_120s,107,12.42511,1.63317
13.00000,12-8-7,endpoint_100s,2,12.27377,1.60103
13.00000,12-8-7,mean_90_100s,107,12.25194,1.63438
13.00000,12-8-7,mean_110_120s,67,10.29940,1.36457
2.00000,2-2,endpoint_100s,2,1.70421,0.46689
2.00000,2-2,mean_90_100s,107,1.70747,0.40430
2.00000,2-2,mean_110_120s,107,1.26327,0.45647
2.00000,2-3,endpoint_100s,2,1.26036,0.33769
2.00000,2-3,mean_90_100s,107,1.26727,0.33356
2.00000,2-3,mean_110_120s,107,1.27096,0.37534
2.00000,2-4,endpoint_100s,2,1.69773,0.36591
2.00000,2-4,mean_90_100s,107,1.69966,0.36516
2.00000,2-4,mean_110_120s,107,1.69222,0.41168
2.00000,2-5,endpoint_100s,2,1.27204,0.32876
2.00000,2-5,mean_90_100s,107,1.26018,0.32366
2.00000,2-5,mean_110_120s,107,1.25058,0.36110
3.50000,3-5-3,endpoint_100s,2,3.15250,1.23397
3.50000,3-5-3,mean_90_100s,107,3.05002,1.10848
3.50000,3-5-3,mean_110_120s,107,2.92783,1.18722
3.50000,3-5-4,endpoint_100s,2,3.09962,0.99928
3.50000,3-5-4,mean_90_100s,107,3.02577,0.97424
3.50000,3-5-4,mean_110_120s,107,2.95701,0.98552
3.50000,3-5-5,endpoint_100s,2,3.07290,0.92547
3.50000,3-5-5,mean_90_100s,107,3.03951,0.91452
3.50000,3-5-5,mean_110_120s,107,2.99876,0.91738
4.00000,4-1,endpoint_100s,2,3.65139,2.02873
4.00000,4-1,mean_90_100s,107,3.71759,2.02806
4.00000,4-1,mean_110_120s,107,3.68971,2.12485
4.00000,4-1b,endpoint_100s,2,3.66454,1.50509
4.00000,4-1b,mean_90_100s,107,3.65178,1.46542
4.00000,4-1b,mean_110_120s,107,3.63421,1.58116
4.00000,4-2,endpoint_100s,2,3.81523,1.56031
4.00000,4-2,mean_90_100s,107,3.72235,1.52590
4.00000,4-2,mean_110_120s,107,3.71594,1.57095
4.00000,4-2b,endpoint_100s,2,3.66227,1.37026
4.00000,4-2b,mean_90_100s,107,3.67038,1.32364
4.00000,4-2b,mean_110_120s,106,3.65345,1.45717
4.00000,4-3,endpoint_100s,2,3.68338,1.64449
4.00000,4-3,mean_90_100s,107,3.73586,1.61849
4.00000,4-3,mean_110_120s,88,3.57701,1.66067
4.00000,4-3b,endpoint_100s,2,3.62971,1.52562
4.00000,4-3b,mean_90_100s,107,3.65952,1.49402
4.00000,4-3b,mean_110_120s,107,3.64668,1.60129
4.00000,4-4,endpoint_100s,2,3.70183,1.89730
4.00000,4-4,mean_90_100s,107,3.69839,1.85960
4.00000,4-4,mean_110_120s,81,3.70532,2.02485
4.00000,4-4b,endpoint_100s,2,3.67071,1.73456
4.00000,4-4b,mean_90_100s,107,3.65099,1.66752
4.00000,4-4b,mean_110_120s,103,3.63666,1.84720
4.00000,4-5,endpoint_100s,2,3.70944,1.86664
4.00000,4-5,mean_90_100s,107,3.71755,1.83683
