reference_pressure_round__bar,time__s,pressure__bar,pressure_std__bar,basket_pressure__bar,basket_pressure_std__bar,mass__g,mass_std__g,mass_flow_rate__g_per_s,mass_flow_rate_std__g_per_s
1.000000,0.000000,0.995300,0.083527,0.710496,0.083181,0.011341,0.021687,0.043713,0.009937
1.000000,0.100100,0.999443,0.080714,0.714730,0.080387,0.025112,0.022055,0.041347,0.009156
1.000000,0.200200,0.995270,0.083236,0.710648,0.082934,0.025609,0.015074,0.038989,0.008394
1.000000,0.300300,0.994652,0.082486,0.710120,0.082203,0.038490,0.020944,0.036641,0.007663
1.000000,0.400400,0.996204,0.080457,0.711762,0.080202,0.035107,0.022973,0.034285,0.006961
1.000000,0.500501,0.995737,0.082950,0.711385,0.082720,0.037664,0.023740,0.031929,0.006294
1.000000,0.600601,0.996988,0.083685,0.712725,0.083480,0.043240,0.020542,0.029572,0.005684
1.000000,0.700701,1.002538,0.082252,0.718364,0.082072,0.041967,0.019978,0.027214,0.005140
1.000000,0.800801,1.003523,0.080137,0.719439,0.079980,0.039335,0.020760,0.024859,0.004703
1.000000,0.900901,0.996613,0.082324,0.712617,0.082187,0.040897,0.018221,0.022504,0.004400
1.000000,1.001001,0.985856,0.083788,0.701949,0.083676,0.037142,0.021054,0.020150,0.004245
1.000000,1.101101,0.989463,0.080657,0.705643,0.080570,0.030000,0.022006,0.017790,0.004261
1.000000,1.201201,0.983824,0.079601,0.700092,0.079532,0.038669,0.025386,0.015433,0.004458
1.000000,1.301301,0.988148,0.079579,0.704504,0.079533,0.034000,0.023041,0.013078,0.004800
1.000000,1.401401,0.986043,0.078506,0.702486,0.078499,0.043399,0.022656,0.010725,0.005267
1.000000,1.501502,0.988533,0.076686,0.705301,0.076726,0.033546,0.023081,0.001930,0.004487
1.000000,1.601602,0.982245,0.080216,0.699216,0.080301,0.033321,0.026050,-0.003631,0.005470
1.000000,1.701702,0.984766,0.080946,0.701803,0.081058,0.036024,0.027234,-0.005429,0.005774
1.000000,1.801802,0.990566,0.079805,0.707635,0.079916,0.046063,0.030210,-0.006308,0.005432
1.000000,1.901902,0.990623,0.078659,0.707609,0.078775,0.046260,0.027423,-0.004029,0.005960
1.000000,2.002002,0.998257,0.078508,0.715294,0.078636,0.043085,0.031322,-0.005448,0.006550
1.000000,2.102102,0.999667,0.078331,0.716706,0.078456,0.052271,0.035102,-0.005500,0.005981
1.000000,2.202202,0.997394,0.077540,0.714387,0.077649,0.049908,0.030519,-0.004222,0.005441
1.000000,2.302302,0.996117,0.079892,0.713102,0.079953,0.049434,0.027060,-0.004043,0.006041
1.000000,2.402402,0.999888,0.077120,0.716896,0.077155,0.046273,0.029377,-0.004661,0.006664
1.000000,2.502503,1.000880,0.076334,0.717802,0.076401,0.037625,0.031743,-0.002254,0.003943
1.000000,2.602603,1.001182,0.077359,0.718064,0.077407,0.027592,0.030551,-0.001163,0.003020
1.000000,2.702703,1.000201,0.075595,0.717104,0.075633,0.023794,0.027718,-0.001711,0.002496
1.000000,2.802803,1.003122,0.077702,0.720063,0.077727,0.031885,0.030223,-0.002789,0.003036
1.000000,2.902903,1.007894,0.071647,0.724771,0.071658,0.039783,0.032776,-0.001034,0.003843
1.000000,3.003003,1.001681,0.073202,0.718453,0.073263,0.011216,0.031107,0.001835,0.003747
1.000000,3.103103,1.005284,0.069388,0.722067,0.069454,0.019341,0.027888,0.001540,0.002578
1.000000,3.203203,1.003214,0.071509,0.720132,0.071545,0.016282,0.028747,-0.002125,0.001798
1.000000,3.303303,1.005761,0.071520,0.722804,0.071545,0.023167,0.026157,-0.005563,0.001759
1.000000,3.403403,1.007125,0.070323,0.724141,0.070327,0.027187,0.026984,-0.004821,0.001037
1.000000,3.503504,1.010780,0.069202,0.727823,0.069200,0.025501,0.028592,-0.005550,0.001865
1.000000,3.603604,1.016236,0.069577,0.733289,0.069606,0.028771,0.028424,-0.005801,0.001547
1.000000,3.703704,1.017509,0.070715,0.734587,0.070735,0.029740,0.026820,-0.006512,0.002168
1.000000,3.803804,1.015208,0.070626,0.732263,0.070638,0.027028,0.027357,-0.005872,0.002697
1.000000,3.903904,1.018975,0.069904,0.735903,0.069922,0.025453,0.026829,-0.002402,0.002655
1.000000,4.004004,1.012639,0.073457,0.729444,0.073415,0.028848,0.024799,0.000934,0.002380
1.000000,4.104104,1.020778,0.069546,0.737460,0.069494,0.033208,0.026389,0.004308,0.002330
1.000000,4.204204,1.018369,0.071450,0.735061,0.071439,0.030632,0.025106,0.004030,0.002307
1.000000,4.304304,1.011769,0.071556,0.728495,0.071562,0.030891,0.031329,0.003068,0.004387
1.000000,4.404404,1.022063,0.073313,0.738592,0.073314,0.040172,0.031756,0.008420,0.003364
1.000000,4.504505,1.015568,0.074545,0.731995,0.074449,0.038194,0.030048,0.011162,0.003227
1.000000,4.604605,1.020750,0.077547,0.737166,0.077409,0.039770,0.029151,0.011443,0.004072
1.000000,4.704705,1.034910,0.073135,0.751410,0.073113,0.031026,0.030381,0.009202,0.003438
1.000000,4.804805,1.037234,0.073545,0.753905,0.073607,0.030121,0.031144,0.004576,0.004715
1.000000,4.904905,1.022673,0.075637,0.739407,0.075647,0.030435,0.030805,0.002837,0.005196
1.000000,5.005005,1.040474,0.075076,0.757244,0.075052,0.034127,0.030764,0.001876,0.005563
1.000000,5.105105,1.039256,0.077133,0.756019,0.077100,0.033574,0.029382,0.002030,0.006203
1.000000,5.205205,1.035577,0.075090,0.752307,0.075057,0.027595,0.026370,0.002918,0.006822
1.000000,5.305305,1.049134,0.073406,0.765860,0.073365,0.034693,0.026943,0.003026,0.005893
1.000000,5.405405,1.039618,0.076398,0.756399,0.076329,0.034301,0.027738,0.001579,0.003522
1.000000,5.505506,1.039212,0.077039,0.756053,0.077021,0.035811,0.027451,-0.000029,0.001673
1.000000,5.605606,1.034880,0.081575,0.751684,0.081556,0.039777,0.024636,0.000968,0.003314
1.000000,5.705706,1.027016,0.079017,0.743712,0.078959,0.038757,0.019660,0.003843,0.006283
1.000000,5.805806,1.033599,0.080608,0.750303,0.080564,0.051417,0.019116,0.003603,0.007647
1.000000,5.905906,1.037704,0.081794,0.754452,0.081749,0.047275,0.024076,0.002406,0.006665
1.000000,6.006006,1.037578,0.082074,0.754384,0.082060,0.049417,0.025951,0.000889,0.005776
1.000000,6.106106,1.041222,0.079148,0.757948,0.079131,0.051518,0.026553,0.003028,0.006458
1.000000,6.206206,1.041236,0.082986,0.757837,0.082938,0.041367,0.027365,0.006431,0.006111
1.000000,6.306306,1.045980,0.082795,0.762577,0.082750,0.036139,0.026164,0.006563,0.005437
1.000000,6.406406,1.041913,0.084332,0.758547,0.084287,0.032285,0.023420,0.005558,0.005526
1.000000,6.506507,1.042095,0.083723,0.758752,0.083654,0.033449,0.025969,0.004936,0.005178
1.000000,6.606607,1.042864,0.083669,0.759441,0.083599,0.037217,0.027628,0.007111,0.004126
1.000000,6.706707,1.055190,0.088076,0.771750,0.088056,0.037237,0.026993,0.007603,0.003667
